client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean
1,11,45663.963075781634,-0.7463138280688802,3.292693992903347,306.3862334876064,698.2713579614756,18037.717516616427,399683.9694184199,625389.6732598688,129589.37001265335,-0.2650171951258533,-0.07720627990305441
2,11,11783.112177227653,-0.7461537752050365,3.3765851601386765,305.01685203062885,607.7173620751718,17539.73049048754,9964.246751974235,262341.4530783496,129589.37001265335,-0.2650171951258533,-0.07720627991781827
3,11,65.52555254300611,-0.7616397100356196,1.9507968570598588,346.6519353880865,147.04960291192407,14599.41256584906,310612.21926688007,175330.42751320722,129562.7538283086,-0.2650171951258533,0.5783890691951588
4,11,28.803771098125452,-0.7273975922858948,0.05277831826024002,434.13516033991436,473.34691656386246,14684.021594280348,205070.63411286796,269847.53028143843,129562.7538283086,-0.2650171951258533,6.915810807048544
5,11,4859.38720298379,-0.749378158015558,3.1143596860127385,311.56249695930325,391.6643994089615,17230.625697857824,249246.20191742663,346563.81826932513,129589.37001265335,-0.2650171951258533,-0.0772062799461979
6,11,34667.45870492374,-0.7465001566225161,3.3913589960333663,302.88924367244965,220.50977398843744,18762.136604424366,741606.0880276044,604864.4899871825,129589.37001265335,-0.2650171951258533,-0.07720627990467704
7,11,2616.0201910783535,-0.7411246964077972,2.44239602523368,340.9610621035872,517.3797437533074,17094.798015327855,631664.961456697,498726.6295790514,129589.37001265335,-0.2650171951258533,-0.07720627998778572
8,11,14804.313287011017,-0.7469676874428778,2.9099885001571306,314.79501205862914,706.4937040751287,17754.960712667555,324749.53877677425,485570.90326057555,129589.37001265335,-0.2650171951258533,-0.07720627991374032
9,11,33011.64019613639,-0.7487549582082433,3.222143143131581,307.0106847808696,364.8335858518304,18834.884017918772,479539.4388431877,407207.1358009188,129582.71596656716,-0.2650171951258533,-0.07720627990501089
10,11,19404.55099892425,-0.7490606991569365,3.4779519157086654,297.9364175346122,823.4457585156329,17940.572754866113,700113.86121654,768808.7886413715,129589.37001265335,-0.2650171951258533,-0.07720627990998749
