client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label,p_select,mlp_label
1,28,0.1730749300445642,0.16721557271176576,0.26086741965729343,0.2797465367117832,0.9756082688193506,0.6538896023991875,0.9987167032466209,0.9977980935392162,0.625,1.0,2025-08-20 17:02:44,0.1049390243902439,7,1,0.047486734,0
2,28,0.685874183853249,0.5137958385998659,0.22437732164852886,0.19500701363925232,0.9775596072975602,0.7162160344815992,0.9866393216517348,0.9260131556942973,0.875,0.2857142857142857,2025-08-20 17:02:44,0.11170854271356784,8,1,0.00037359187,0
3,28,0.760182402321484,0.19506439508576906,0.0890509144356102,0.10265766988077256,0.9362766022357498,0.7466261422702178,1.0,0.9436702157310887,1.0,0.3571428571428572,2025-08-20 17:02:44,0.11056886227544911,6,1,1.4809727e-05,0
4,28,0.053373406570629084,0.6505080595231728,0.7742881084182649,0.6692514453753733,0.9579242636832803,0.0,0.9965578862783194,0.9453146775182563,0.0,0.9285714285714286,2025-08-20 17:02:44,0.0975862068965517,5,1,0.66176885,1
5,28,0.05119701523473935,0.0,0.0,0.0,0.9895725349278256,0.6292286692173724,0.9829093656676141,0.9290094208149842,0.625,1.0,2025-08-20 17:02:44,0.10092592592592593,4,0,0.0014835183,0
6,28,0.10840501606384081,0.22004901582629607,0.26303219513894327,0.2232436512643554,1.0,1.0,0.9974573933484451,0.9972406488656,1.0,0.8571428571428572,2025-08-20 17:02:44,0.10252336448598129,6,1,0.018654067,0
7,28,0.17120945175665872,0.5738253905145232,0.4853434370703227,0.4036599087652371,0.7679126776081511,0.15614052193091543,0.9948788064140851,0.515608450861252,0.25,1.0,2025-08-20 17:02:52,0.10577639751552795,6,1,0.00018278354,0
8,28,0.41496528137630845,0.3200448619427135,0.11091879951116568,0.10345272577333438,0.9967680956082847,0.83190052246885,1.0,1.0,0.875,0.3571428571428572,2025-08-20 17:02:44,0.10727513227513226,7,1,0.00054650067,0
9,28,0.030676754067779043,0.8468364220424872,0.7281488061199115,0.44013436842333215,0.7998048661365614,0.19499788188303935,0.9906931001811008,0.5126818663247672,0.25,1.0,2025-08-20 17:02:51,0.08675000000000001,4,0,0.0072104638,0
10,28,0.46916778940822884,0.1809372348190578,0.28071397677166154,0.2724182338710604,0.9574364290474005,0.51653644169799,0.6077909305700476,0.9278387870003902,0.625,0.9285714285714286,2025-08-20 17:02:44,0.11138686131386862,5,1,0.9830688,1
11,28,0.10249766815214012,0.5032647546933994,0.713154306957374,0.48126690985330134,0.5969266418780077,0.0882078040842672,0.0,0.0,0.125,1.0,2025-08-20 17:02:52,0.09904761904761904,3,0,0.9998735,1
12,28,0.0,1.0,0.8145593669537552,0.8410922362062885,0.8515153362904232,0.060547886253756955,0.00043176339366024497,0.23483750487764088,0.0,1.0,2025-08-20 17:02:51,0.07285714285714284,3,0,0.9999993,1
13,28,0.008083739247590423,0.09455228058099917,1.0,1.0,0.0,0.3682161420684924,0.4652970172345554,0.24389598082390318,0.375,1.0,2025-08-20 17:02:51,0.07166666666666666,2,0,0.67538583,1
14,28,0.05451342107990465,0.41230063831346236,0.3300512153609314,0.2220137232215541,0.9935361912392859,0.8224093412320042,0.9797311073531705,0.9263894308489883,0.75,0.9285714285714286,2025-08-20 17:02:44,0.09616666666666669,6,1,0.081841715,0
15,28,0.1010467405948803,0.4571329104284189,0.3234932688521005,0.2778360160761274,0.9831697054823988,0.5018928569027077,0.9811943055205747,0.9254417749038408,0.5,1.0,2025-08-20 17:02:44,0.09961165048543688,5,1,0.19458447,0
16,28,0.20572080008291013,0.1306000779347658,0.10597481903357497,0.09196529508108332,0.9606683334391157,0.7227351277930567,0.5404358411590449,0.6277384469591394,0.75,1.0,2025-08-20 17:02:45,0.10441025641025639,5,1,0.5128694,1
17,28,0.07057726189242408,0.40589376739438743,0.10235645813799799,0.2047399296603136,0.8015122873280663,0.7161672841706057,0.34213650919296223,0.35113439991080886,0.75,1.0,2025-08-20 17:02:51,0.10608695652173912,4,0,0.94246876,1
18,28,0.5812001243652192,0.109524063843218,0.004319874907956489,0.04532172142196122,0.9942679431703894,0.8218226564548772,0.7923218076494081,0.8737527175427839,0.875,0.0,2025-08-20 17:02:44,0.11139763779527558,5,1,2.1497879e-05,0
19,28,1.0,0.14995519739848298,0.2378708227259576,0.18735918583448166,0.9772547106501352,0.21033237625826218,0.5084973434557862,0.6768911310552428,0.5,1.0,2025-08-20 17:02:45,0.1106043329532497,3,0,0.7481959,1
20,28,0.03440771064359001,0.5649123431661661,0.4895757436774235,0.2717036116485632,0.33367888285477676,0.5460488713462482,0.9905491790498807,0.5099364513072078,0.5,1.0,2025-08-20 17:02:51,0.08704545454545454,4,0,0.0008633166,0
