client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label,p_select,mlp_label
1,43,0.1730749300445642,0.16721557271176576,0.12249291291314346,0.09663201138948574,0.982953041478448,0.7520892948697212,0.6912060123366341,0.792196109299449,0.8333333333333334,0.7647058823529411,2025-08-20 17:10:33,0.10623456790123459,5,1,0.13203764,0
2,43,0.685874183853249,0.5137958385998659,0.07919946799666533,0.051061810374868885,0.9953412038831816,0.8315437695633976,1.0,1.0,0.9166666666666666,0.05882352941176472,2025-08-20 17:10:33,0.11227272727272729,8,1,0.000113550326,0
3,43,0.760182402321484,0.19506439508576906,0.024260951721740587,0.0012408655588885796,0.9512944041734234,0.8848905135964693,0.9892231701841042,0.9334950442563171,1.0,0.0,2025-08-20 17:10:33,0.1090989660265879,6,1,7.122972e-07,0
4,43,0.053373406570629084,0.6505080595231728,0.7210402783584722,0.7599392700852635,0.5700672348867625,0.03296110799044383,0.6478859924845792,0.221699249811248,0.0,1.0,2025-08-20 17:10:42,0.09278688524590166,3,0,0.024104048,0
5,43,0.05119701523473935,0.0,0.0739349301499298,0.0,0.9766530785495712,0.7355455106016093,0.19821331505683837,0.8301553388700583,0.75,1.0,2025-08-20 17:10:34,0.0990909090909091,2,0,0.99999213,1
6,43,0.10840501606384081,0.22004901582629607,0.10323249694756642,0.01464382465375368,1.0,1.0,0.9881833006404651,0.9310693804115596,1.0,1.0,2025-08-20 17:10:33,0.10447619047619047,7,1,0.0037199059,0
7,43,0.17120945175665872,0.5738253905145232,0.29390996297088123,0.2651361607416475,0.9786648313766804,0.3980419202004548,0.0,0.6293071597243418,0.41666666666666663,1.0,2025-08-20 17:10:34,0.10384146341463416,5,1,0.9999999,1
8,43,0.41496528137630845,0.3200448619427135,0.10852818762057681,0.09773768809550076,0.9959764942668938,0.8246707859473905,0.991562876657292,0.9378965799746188,0.9166666666666666,1.0,2025-08-20 17:10:33,0.10265822784810127,7,1,0.006355363,0
9,43,0.030676754067779043,0.8468364220424872,0.7877516650280039,0.7273591067729265,0.9868706654640895,0.23724390514086624,0.9916810436508874,0.9379929639684503,0.25,1.0,2025-08-20 17:10:33,0.08069767441860465,6,1,0.7911462,1
10,43,0.46916778940822884,0.1809372348190578,0.3339216387603754,0.2772369639945854,0.831012758775656,0.5440342482606775,0.9930990475740317,0.8051758204687475,0.5833333333333333,1.0,2025-08-20 17:10:35,0.11057971014492754,5,1,0.001167767,0
11,43,0.10249766815214012,0.5032647546933994,0.8469518879373431,0.8227071742903023,0.9825295145674776,0.05780129225032149,0.9877106326660837,0.9344588841946314,0.08333333333333337,0.8823529411764706,2025-08-20 17:10:33,0.09285714285714285,6,1,0.5441481,1
12,43,0.0,1.0,0.9492239360060091,0.9946411278812991,0.8698184128314979,0.0,0.21340959043320018,0.0,0.0,1.0,2025-08-20 17:10:40,0.07285714285714284,3,0,0.9990959,1
13,43,0.008083739247590423,0.09455228058099917,1.0,1.0,0.0,0.2433218538527825,0.21567839671023092,0.375078311994988,0.25,0.9411764705882353,2025-08-20 17:10:41,0.06789473684210526,2,0,0.99978596,1
14,43,0.05451342107990465,0.41230063831346236,0.3468822287688236,0.2538405366927413,0.9941235639820936,0.8340994489653274,0.9130527261125423,0.9096881977799554,0.8333333333333334,0.9411764705882353,2025-08-20 17:10:33,0.09306451612903224,6,1,0.2215215,0
15,43,0.1010467405948803,0.4571329104284189,0.046258904184121596,0.018021444594459708,0.9848589125975364,0.7006855337958457,0.9662042398317302,0.9192302131692663,0.75,1.0,2025-08-20 17:10:34,0.09961165048543688,6,1,0.06843815,0
16,43,0.20572080008291013,0.1306000779347658,0.321937074043965,0.2837806648419674,0.9744825030519603,0.6571487950466681,0.9426653747075366,0.9260734767312975,0.6666666666666667,1.0,2025-08-20 17:10:34,0.09788461538461536,4,0,0.03975109,0
17,43,0.07057726189242408,0.40589376739438743,0.18392251900883871,0.155093835423332,0.9853353803822391,0.7460358540155145,0.985441826389053,0.9345713321874347,0.75,1.0,2025-08-20 17:10:34,0.10608695652173913,7,1,0.07385322,0
18,43,0.5812001243652192,0.109524063843218,0.0,0.007030170579613451,0.9929059240908666,0.8922056189655528,0.8812421714366743,0.8917125829303947,1.0,1.0,2025-08-20 17:10:34,0.10882692307692306,5,1,0.0018411436,0
19,43,1.0,0.14995519739848298,0.17593812208299964,0.13311759153703773,0.7998305892553339,0.40261214550609226,0.23541228464065422,0.9103950137347191,0.5833333333333333,1.0,2025-08-20 17:10:34,0.10948081264108352,2,0,0.999997,1
20,43,0.03440771064359001,0.5649123431661661,0.4320743413658601,0.4582818057168074,0.927471014879126,0.5858770038849856,0.9955096542433768,0.9969157121973944,0.5833333333333333,0.9411764705882353,2025-08-20 17:10:33,0.08326086956521739,5,1,0.56191564,1
