client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean,classification_score,class_label
1,8,13679.0,0.06352762877941132,0.8770289421081543,68.77695918083191,68.9700000025332,4563.31264,57616.0,88948.0,38947.0,0.0,0.09999999999992686,8,1
2,8,3530.0,0.06357087939977646,1.2428154945373535,58.30028057098389,59.36999999731779,4446.43328,2383.0,33516.0,38947.0,0.0,0.09999999999971573,3,0
3,8,20.0,0.05938616022467613,0.6957340240478516,80.0000011920929,12.780000001192093,3770.445824,70413.0,33426.0,38941.0,0.0,0.10937499994609375,3,0
4,8,9.0,0.06863930821418762,0.38239288330078125,88.88888955116272,41.3399999961257,3785.531392,10483.0,29225.0,38941.0,0.0,0.13888888878703703,3,0
5,8,1456.0,0.0626995638012886,0.991431713104248,65.79670310020447,37.100000001490116,4315.271168,29945.0,39103.0,38947.0,0.0,0.09999999999930989,1,0
6,8,10385.0,0.0634772777557373,0.89472496509552,67.41454005241394,28.649999998509884,4749.369344,48076.0,61950.0,38947.0,0.0,0.09999999999990361,6,1
7,8,784.0,0.06492987275123596,1.0604841709136963,62.627553939819336,48.57999999448657,4274.4832,62011.0,57984.0,38947.0,0.0,0.09999999999871517,5,0
8,8,4435.0,0.06335093826055527,1.1618266105651855,60.51860451698303,65.3800000003539,4453.552128,31143.0,59611.0,38947.0,0.0,0.09999999999977405,5,0
9,8,9889.0,0.06286796927452087,0.9483941793441772,66.38689637184143,33.71999999880791,4719.099904,73766.0,47514.0,38947.0,0.0,0.09999999999989889,5,0
10,8,5813.0,0.06278534978628159,1.01334810256958,63.51281404495239,77.49000000208616,4526.956544,60143.0,90849.0,38947.0,0.0,0.0999999999998277,6,1
