client_rank,round,data_size,data_variance,local_loss,local_accuracy
13,1,129,0.06263454258441925,2.593144655227661,9.302325546741486
9,1,347,0.06546813249588013,2.5920722484588623,8.64553302526474
5,1,545,0.062278397381305695,2.5090553760528564,11.559633165597916
20,1,383,0.06440622359514236,2.579631805419922,8.616188168525696
12,1,51,0.06604504585266113,2.698274612426758,13.725490868091583
8,1,4055,0.06348389387130737,2.5603628158569336,10.826140642166138
16,1,2036,0.06277032196521759,2.5950138568878174,10.216110199689865
17,1,732,0.06380725651979446,2.5598156452178955,10.928961634635925
11,1,1040,0.06417401880025864,2.5916330814361572,10.673076659440994
4,1,566,0.06472863256931305,2.5576040744781494,8.127208799123764
1,1,1721,0.06290823966264725,2.5591588020324707,10.400930047035217
14,1,577,0.0638313889503479,2.5974161624908447,8.492200821638107
6,1,1097,0.06310724467039108,2.5672857761383057,10.938924551010132
7,1,1703,0.0644397959113121,2.60422945022583,10.33470332622528
3,1,7386,0.06301313638687134,2.563157081604004,10.668832808732986
18,1,5659,0.06269093602895737,2.566234588623047,10.567238181829453
19,1,9700,0.06284322589635849,2.572042226791382,10.567010194063187
10,1,4578,0.06295992434024811,2.5853867530822754,10.37570983171463
2,1,6669,0.06421368569135666,2.5709662437438965,10.64627394080162
15,1,1026,0.06400025635957718,2.5550549030303955,11.013644933700562
13,2,129,0.06263454258441925,2.4034998416900635,6.201550364494324
5,2,545,0.062278397381305695,2.383220672607422,10.275229066610336
9,2,347,0.06546813249588013,2.4432342052459717,6.340057402849197
12,2,51,0.06604504585266113,2.269160270690918,13.725490868091583
17,2,732,0.06380725651979446,2.3890349864959717,9.69945341348648
4,2,566,0.06472863256931305,2.384687662124634,11.660777032375336
20,2,383,0.06440622359514236,2.3919296264648438,9.138381481170654
14,2,577,0.0638313889503479,2.3728275299072266,11.43847480416298
11,2,1040,0.06417401880025864,2.390913963317871,9.51923057436943
1,2,1721,0.06290823966264725,2.3742170333862305,9.936083853244781
15,2,1026,0.06400025635957718,2.3522188663482666,11.988303810358047
16,2,2036,0.06277032196521759,2.3451077938079834,10.01964658498764
6,2,1097,0.06310724467039108,2.3779079914093018,10.118505358695984
7,2,1703,0.0644397959113121,2.3699796199798584,9.277745336294174
8,2,4055,0.06348389387130737,2.3786442279815674,9.864365309476852
10,2,4578,0.06295992434024811,2.374002695083618,10.004368424415588
2,2,6669,0.06421368569135666,2.360872268676758,10.66126823425293
18,2,5659,0.06269093602895737,2.3704657554626465,10.372857749462128
3,2,7386,0.06301313638687134,2.3641908168792725,10.343893617391586
19,2,9700,0.06284322589635849,2.378695487976074,9.690721333026886
9,3,347,0.06546813249588013,2.534588098526001,6.916426867246628
4,3,566,0.06472863256931305,2.4543917179107666,11.660777032375336
13,3,129,0.06263454258441925,2.4730494022369385,5.426356568932533
5,3,545,0.062278397381305695,2.46524977684021,9.90825667977333
20,3,383,0.06440622359514236,2.470289468765259,9.921670705080032
14,3,577,0.0638313889503479,2.446972370147705,11.785095185041428
