client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean
1,2,45663.963075781634,-0.7463138280688802,6.721686513791308,206.7452800102271,717.7453355770673,11974.69678760862,570412.7253507838,706606.3929755174,129549.44573613623,-0.2650171951258533,-0.07720627990305441
2,2,11783.112177227653,-0.7461537752050365,11.858172039295699,89.65445086119219,643.7442206700617,11311.823273796044,8304.936950343463,240361.66597936887,129549.44573613623,-0.2650171951258533,-0.07720627991781827
3,2,65.52555254300611,-0.7616397100356196,11.599090761569956,18.5898173761999,168.47097832534797,10384.4515241297,315722.8934559028,179372.77958296493,129549.44573613623,-0.2650171951258533,2.919801042551081
4,2,28.803771098125452,-0.7273975922858948,11.704258426789671,-3.280990491259207,413.1939635643018,10396.628683841203,70619.13132930023,225928.1385096177,129542.79169005006,-0.2650171951258533,0.06550834950598472
5,2,4859.38720298379,-0.749378158015558,11.817175181941316,88.94892857730629,380.08820160570497,11135.275972395684,456195.3203768165,282440.70263394405,129549.44573613623,-0.2650171951258533,-0.07720627994619693
6,2,34667.45870492374,-0.7465001566225161,6.76494868422204,196.8311021793395,405.1879949697469,11847.991217654053,4967.353806491853,270852.09093495674,129549.44573613623,-0.2650171951258533,-0.07720627990467996
7,2,2616.0201910783535,-0.7411246964077972,11.05408702724006,77.61868079403763,517.2715549710877,10994.872890633711,440967.5972829935,599078.220622917,129549.44573613623,-0.2650171951258533,-0.07720627998778572
8,2,14804.313287011017,-0.7469676874428778,10.600437857691679,105.21004984554087,646.3407510151128,11257.018883622124,292416.70207071176,515386.2634569991,129549.44573613623,-0.2650171951258533,-0.07720627991374032
9,2,33011.64019613639,-0.7487549582082433,9.144155052748602,139.8999213128233,322.3154014119454,11694.019710583383,4246.739264069346,269100.1371552208,129549.44573613623,-0.2650171951258533,-0.07720627990500992
10,2,19404.55099892425,-0.7490606991569365,9.866801301234155,123.96323392127634,798.8869089417796,11546.445156670938,569986.0456875073,741324.0091611104,129549.44573613623,-0.2650171951258533,-0.07720627990998846
