client_id,round,true_label,pred_label,value
1,1,0,0,0.07903780068728522
1,1,1,0,0.00859106529209622
1,1,2,0,0.006872852233676976
1,1,3,0,0.0
1,1,4,0,0.006872852233676976
1,1,5,0,0.001718213058419244
1,1,6,0,0.001718213058419244
1,1,7,0,0.001718213058419244
1,1,8,0,0.015463917525773196
1,1,9,0,0.03608247422680412
1,1,0,1,0.0
1,1,1,1,0.005154639175257732
1,1,2,1,0.0
1,1,3,1,0.0
1,1,4,1,0.0
1,1,5,1,0.0
1,1,6,1,0.0
1,1,7,1,0.0
1,1,8,1,0.0
1,1,9,1,0.0
1,1,0,2,0.14604810996563575
1,1,1,2,0.006872852233676976
1,1,2,2,0.08419243986254296
1,1,3,2,0.01718213058419244
1,1,4,2,0.01718213058419244
1,1,5,2,0.020618556701030927
1,1,6,2,0.006872852233676976
1,1,7,2,0.010309278350515464
1,1,8,2,0.09965635738831616
1,1,9,2,0.01718213058419244
1,1,0,3,0.001718213058419244
1,1,1,3,0.030927835051546393
1,1,2,3,0.001718213058419244
1,1,3,3,0.0429553264604811
1,1,4,3,0.001718213058419244
1,1,5,3,0.03264604810996564
1,1,6,3,0.012027491408934709
1,1,7,3,0.006872852233676976
1,1,8,3,0.001718213058419244
1,1,9,3,0.024054982817869417
1,1,0,4,0.48281786941580757
1,1,1,4,0.6597938144329897
1,1,2,4,0.872852233676976
1,1,3,4,0.8900343642611683
1,1,4,4,0.9759450171821306
1,1,5,4,0.8951890034364262
1,1,6,4,1.0
1,1,7,4,0.9501718213058419
1,1,8,4,0.38831615120274915
1,1,9,4,0.7216494845360825
1,1,0,5,0.0
1,1,1,5,0.0
1,1,2,5,0.0
1,1,3,5,0.0
1,1,4,5,0.0
1,1,5,5,0.0
1,1,6,5,0.0
1,1,7,5,0.0
1,1,8,5,0.0
1,1,9,5,0.0
1,1,0,6,0.001718213058419244
1,1,1,6,0.020618556701030927
1,1,2,6,0.003436426116838488
1,1,3,6,0.00859106529209622
1,1,4,6,0.001718213058419244
1,1,5,6,0.003436426116838488
1,1,6,6,0.015463917525773196
1,1,7,6,0.005154639175257732
1,1,8,6,0.001718213058419244
1,1,9,6,0.005154639175257732
1,1,0,7,0.0
1,1,1,7,0.0
1,1,2,7,0.0
1,1,3,7,0.0
1,1,4,7,0.0
1,1,5,7,0.0
1,1,6,7,0.0
1,1,7,7,0.0
1,1,8,7,0.0
1,1,9,7,0.0
1,1,0,8,0.3075601374570447
1,1,1,8,0.19243986254295534
1,1,2,8,0.070446735395189
1,1,3,8,0.01718213058419244
1,1,4,8,0.024054982817869417
1,1,5,8,0.027491408934707903
1,1,6,8,0.006872852233676976
1,1,7,8,0.024054982817869417
1,1,8,8,0.5240549828178694
1,1,9,8,0.2268041237113402
1,1,0,9,0.0
1,1,1,9,0.003436426116838488
1,1,2,9,0.0
1,1,3,9,0.0
1,1,4,9,0.0
1,1,5,9,0.0
1,1,6,9,0.0
1,1,7,9,0.0
1,1,8,9,0.0
1,1,9,9,0.001718213058419244
1,10,0,0,0.7250470809792844
1,10,1,0,0.003766478342749529
1,10,2,0,0.10922787193973635
1,10,3,0,0.009416195856873822
1,10,4,0,0.02824858757062147
1,10,5,0,0.007532956685499058
1,10,6,0,0.003766478342749529
1,10,7,0,0.007532956685499058
1,10,8,0,0.04143126177024482
1,10,9,0,0.015065913370998116
1,10,0,1,0.013182674199623353
1,10,1,1,0.7551789077212806
1,10,2,1,0.0018832391713747645
1,10,3,1,0.0
1,10,4,1,0.0018832391713747645
1,10,5,1,0.0
1,10,6,1,0.0
1,10,7,1,0.005649717514124294
1,10,8,1,0.015065913370998116
1,10,9,1,0.02824858757062147
1,10,0,2,0.018832391713747645
1,10,1,2,0.0
1,10,2,2,0.4256120527306968
1,10,3,2,0.05084745762711865
1,10,4,2,0.009416195856873822
1,10,5,2,0.04143126177024482
1,10,6,2,0.013182674199623353
1,10,7,2,0.011299435028248588
1,10,8,2,0.0018832391713747645
1,10,9,2,0.003766478342749529
1,10,0,3,0.009416195856873822
1,10,1,3,0.0
1,10,2,3,0.04331450094161959
1,10,3,3,0.5160075329566854
1,10,4,3,0.02824858757062147
1,10,5,3,0.1902071563088512
1,10,6,3,0.05649717514124294
1,10,7,3,0.03389830508474576
1,10,8,3,0.011299435028248588
1,10,9,3,0.015065913370998116
1,10,0,4,0.05649717514124294
1,10,1,4,0.01694915254237288
1,10,2,4,0.3465160075329567
1,10,3,4,0.16195856873822975
1,10,4,4,0.928436911487759
1,10,5,4,0.14689265536723164
1,10,6,4,0.0903954802259887
1,10,7,4,0.16195856873822975
1,10,8,4,0.018832391713747645
1,10,9,4,0.018832391713747645
1,10,0,5,0.009416195856873822
1,10,1,5,0.003766478342749529
1,10,2,5,0.047080979284369114
1,10,3,5,0.1544256120527307
1,10,4,5,0.01694915254237288
1,10,5,5,0.5743879472693032
1,10,6,5,0.011299435028248588
1,10,7,5,0.04143126177024482
1,10,8,5,0.003766478342749529
1,10,9,5,0.003766478342749529
1,10,0,6,0.0018832391713747645
1,10,1,6,0.01694915254237288
1,10,2,6,0.08662900188323917
1,10,3,6,0.10922787193973635
1,10,4,6,0.04143126177024482
1,10,5,6,0.04519774011299435
1,10,6,6,0.9397363465160076
1,10,7,6,0.005649717514124294
1,10,8,6,0.003766478342749529
1,10,9,6,0.007532956685499058
1,10,0,7,0.047080979284369114
1,10,1,7,0.007532956685499058
1,10,2,7,0.035781544256120526
1,10,3,7,0.032015065913371
1,10,4,7,0.064030131826742
1,10,5,7,0.054613935969868174
1,10,6,7,0.003766478342749529
1,10,7,7,0.815442561205273
1,10,8,7,0.003766478342749529
1,10,9,7,0.02448210922787194
1,10,0,8,0.1544256120527307
1,10,1,8,0.02824858757062147
1,10,2,8,0.03389830508474576
1,10,3,8,0.02824858757062147
1,10,4,8,0.007532956685499058
1,10,5,8,0.009416195856873822
1,10,6,8,0.02071563088512241
1,10,7,8,0.005649717514124294
1,10,8,8,1.0
1,10,9,8,0.01694915254237288
1,10,0,9,0.08097928436911488
1,10,1,9,0.18455743879472694
1,10,2,9,0.009416195856873822
1,10,3,9,0.007532956685499058
1,10,4,9,0.0
1,10,5,9,0.005649717514124294
1,10,6,9,0.003766478342749529
1,10,7,9,0.005649717514124294
1,10,8,9,0.030131826741996232
1,10,9,9,0.9981167608286252
1,11,0,0,0.7477638640429338
1,11,1,0,0.023255813953488372
1,11,2,0,0.03756708407871199
1,11,3,0,0.0017889087656529517
1,11,4,0,0.026833631484794274
1,11,5,0,0.0017889087656529517
1,11,6,0,0.0
1,11,7,0,0.016100178890876567
1,11,8,0,0.08765652951699464
1,11,9,0,0.028622540250447227
1,11,0,1,0.005366726296958855
1,11,1,1,0.738819320214669
1,11,2,1,0.0017889087656529517
1,11,3,1,0.0017889087656529517
1,11,4,1,0.0
1,11,5,1,0.0035778175313059034
1,11,6,1,0.0
1,11,7,1,0.0
1,11,8,1,0.014311270125223614
1,11,9,1,0.016100178890876567
1,11,0,2,0.12343470483005367
1,11,1,2,0.0035778175313059034
1,11,2,2,0.7352415026833632
1,11,3,2,0.10912343470483005
1,11,4,2,0.11806797853309481
1,11,5,2,0.08050089445438283
1,11,6,2,0.044722719141323794
1,11,7,2,0.04830053667262969
1,11,8,2,0.03935599284436494
1,11,9,2,0.012522361359570662
1,11,0,3,0.026833631484794274
1,11,1,3,0.0
1,11,2,3,0.046511627906976744
1,11,3,3,0.44364937388193204
1,11,4,3,0.03577817531305903
1,11,5,3,0.24150268336314848
1,11,6,3,0.017889087656529516
1,11,7,3,0.03220035778175313
1,11,8,3,0.014311270125223614
1,11,9,3,0.0017889087656529517
1,11,0,4,0.03577817531305903
1,11,1,4,0.007155635062611807
1,11,2,4,0.08407871198568873
1,11,3,4,0.06082289803220036
1,11,4,4,0.6851520572450805
1,11,5,4,0.06618962432915922
1,11,6,4,0.007155635062611807
1,11,7,4,0.16279069767441862
1,11,8,4,0.008944543828264758
1,11,9,4,0.012522361359570662
1,11,0,5,0.0
1,11,1,5,0.0
1,11,2,5,0.03756708407871199
1,11,3,5,0.06976744186046512
1,11,4,5,0.01073345259391771
1,11,5,5,0.4400715563506261
1,11,6,5,0.0035778175313059034
1,11,7,5,0.03398926654740608
1,11,8,5,0.0
1,11,9,5,0.0
1,11,0,6,0.007155635062611807
1,11,1,6,0.025044722719141325
1,11,2,6,0.11270125223613596
1,11,3,6,0.3023255813953488
1,11,4,6,0.14669051878354203
1,11,5,6,0.1520572450805009
1,11,6,6,1.0
1,11,7,6,0.046511627906976744
1,11,8,6,0.012522361359570662
1,11,9,6,0.012522361359570662
1,11,0,7,0.016100178890876567
1,11,1,7,0.0
1,11,2,7,0.008944543828264758
1,11,3,7,0.008944543828264758
1,11,4,7,0.03756708407871199
1,11,5,7,0.028622540250447227
1,11,6,7,0.0017889087656529517
1,11,7,7,0.6905187835420393
1,11,8,7,0.0035778175313059034
1,11,9,7,0.0035778175313059034
1,11,0,8,0.055456171735241505
1,11,1,8,0.016100178890876567
1,11,2,8,0.008944543828264758
1,11,3,8,0.005366726296958855
1,11,4,8,0.005366726296958855
1,11,5,8,0.0017889087656529517
1,11,6,8,0.008944543828264758
1,11,7,8,0.0017889087656529517
1,11,8,8,0.8676207513416816
1,11,9,8,0.007155635062611807
1,11,0,9,0.04293381037567084
1,11,1,9,0.1520572450805009
1,11,2,9,0.008944543828264758
1,11,3,9,0.012522361359570662
1,11,4,9,0.0035778175313059034
1,11,5,9,0.005366726296958855
1,11,6,9,0.0017889087656529517
1,11,7,9,0.007155635062611807
1,11,8,9,0.025044722719141325
1,11,9,9,0.9803220035778175
1,12,0,0,0.6614310645724258
1,12,1,0,0.0034904013961605585
1,12,2,0,0.041884816753926704
1,12,3,0,0.0017452006980802793
1,12,4,0,0.010471204188481676
1,12,5,0,0.0017452006980802793
1,12,6,0,0.0
1,12,7,0,0.0034904013961605585
1,12,8,0,0.02268760907504363
1,12,9,0,0.013961605584642234
1,12,0,1,0.012216404886561954
1,12,1,1,0.7260034904013961
1,12,2,1,0.0034904013961605585
1,12,3,1,0.0
1,12,4,1,0.0
1,12,5,1,0.0
