client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean,classification_score,class_label
1,17,13679.0,0.06352762877941132,0.6971782445907593,75.59763193130493,70.43000000342727,6251.749376,50460.0,81677.0,38959.0,0.0,0.09999999999992686,9,1
2,17,3530.0,0.06357087939977646,0.6658111810684204,76.43059492111206,58.49000000208616,6104.190976,232.0,32996.0,38957.0,0.0,0.09999999999971575,3,0
3,17,20.0,0.05938616022467613,0.47014254331588745,85.00000238418579,13.060000002384186,4960.354304,42827.0,38966.0,38947.0,0.0,0.1428571427867347,4,0
4,17,9.0,0.06863930821418762,0.08253301680088043,100.0,38.53000000119209,4965.10976,6469.0,26375.0,38947.0,0.0,0.19999999985333333,3,0
5,17,1456.0,0.0626995638012886,0.5395182371139526,83.3791196346283,35.7799999974668,6014.406656,51152.0,35282.0,38957.0,0.0,0.09999999999930992,2,0
6,17,10385.0,0.0634772777557373,0.632433295249939,78.045254945755,14.109999999403954,6567.2192,37822.0,69976.0,38957.0,0.0,0.09999999999990361,6,1
7,17,784.0,0.06492987275123596,0.47791317105293274,86.73469424247742,47.42999999970198,5990.514688,134.0,28864.0,38957.0,0.0,0.09999999999871517,3,0
8,17,4435.0,0.06335093826055527,0.6451933979988098,77.76775360107422,62.87000000011176,6147.64544,62810.0,66641.0,38957.0,0.0,0.09999999999977403,6,1
9,17,9889.0,0.06286796927452087,0.6397666931152344,77.44969129562378,33.85999999940395,6471.831552,985.0,33270.0,38957.0,0.0,0.09999999999989889,4,0
10,17,5813.0,0.06278534978628159,0.6160904169082642,78.84052991867065,70.49000000208616,6283.411456,70065.0,76802.0,38957.0,0.01,0.09999999999982773,7,1
