client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean,classification_score,class_label
1,22,13679.0,0.06352762877941132,0.5781580805778503,79.83770966529846,84.85000000149012,7071.41632,91176.0,133934.0,38965.0,0.01,0.09999999999992687,9,1
2,22,3530.0,0.06357087939977646,0.539080023765564,80.25496006011963,56.809999998658895,7160.7296,2974.0,34489.0,38965.0,0.0,0.09999999999971576,5,0
3,22,20.0,0.05938616022467613,0.370584636926651,85.00000238418579,12.809999994933605,5660.639232,51381.0,28427.0,38951.0,0.0,0.10937499994609375,3,0
4,22,9.0,0.06863930821418762,0.07370904833078384,100.0,44.10999999940395,5656.702976,7853.0,27503.0,38951.0,0.0,0.19999999985333333,3,0
5,22,1456.0,0.0626995638012886,0.4149878919124603,87.56868243217468,36.78000000119209,6981.59104,42767.0,51681.0,38965.0,0.0,0.09999999999930992,4,0
6,22,10385.0,0.0634772777557373,0.5169231295585632,82.35917091369629,15.479999989271164,7639.281664,30437.0,45172.0,38965.0,0.0,0.09999999999990365,6,1
7,22,784.0,0.06492987275123596,0.3822762668132782,88.13775777816772,50.64000000059605,6917.042176,78075.0,54576.0,38963.0,0.0,0.09999999999871517,5,0
8,22,4435.0,0.06335093826055527,0.5219528675079346,82.57046341896057,57.769999999552965,7175.753728,31337.0,65523.0,38963.0,0.0,0.09999999999977405,5,0
9,22,9889.0,0.06286796927452087,0.5830466747283936,78.91596555709839,34.60999999940395,7587.172352,72927.0,48200.0,38963.0,0.01,0.09999999999989888,6,1
10,22,5813.0,0.06278534978628159,0.4820114076137543,83.07242393493652,86.37999999523163,7342.723072,31441.0,65738.0,38963.0,0.0,0.09999999999982771,5,0
