client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label,p_select,mlp_label
1,13,0.013943057722308892,0.0,0.5904994227427448,0.5733769785976754,0.9624736965167016,0.783575849979273,1.0,1.0,0.75,1.0,2025-08-21 11:09:13,0.09941176470588235,6,1,0.12251589,0
2,13,0.002047581903276131,0.15816424214466562,0.6742157946118555,0.7709369356433741,0.9617722702772638,0.7262360620261792,0.6537472663869023,0.8680525865754596,0.75,1.0,2025-08-21 11:09:13,0.07833333333333332,6,1,0.9911623,1
3,13,0.3792901716068643,0.15400351310475657,0.4991986719091219,0.5266338408708963,0.8818096796999272,0.06248990001897081,0.5147467344405698,0.865166737922189,0.25,1.0,2025-08-21 11:09:15,0.11585798816568048,5,1,0.99854904,1
4,13,0.31318252730109203,0.16094748460928643,0.47646987916011707,0.49743947670174077,0.981879822296652,0.41360739705045424,0.9982859507063065,0.7911099828986746,0.5,0.5,2025-08-21 11:09:15,0.11904411764705883,5,1,6.052729e-05,0
5,13,0.09087363494539781,0.21864001470004618,0.5098333983601209,0.5474170793906312,0.0,0.21467817069143613,0.5025562976535256,0.07063648995297134,0.25,1.0,2025-08-21 11:09:23,0.1244155844155844,4,0,0.022942698,0
6,13,0.4581708268330733,0.09912634969912579,0.4606726234781474,0.49002814072993983,0.9876081365491027,0.5425007201725603,0.8131390744133814,0.7251362761864044,0.75,1.0,2025-08-21 11:09:14,0.1233681462140992,4,0,0.011124457,0
7,13,0.39752340093603744,0.14196207029036806,0.4394159970609026,0.48984562539561827,0.9216156184341797,0.49506418318379486,0.5161948105680005,0.7678227875160325,0.75,1.0,2025-08-21 11:09:14,0.12547400611620793,4,0,0.98500407,1
8,13,0.01501560062402496,0.3391388224631433,0.9906137616925516,0.8912529652422044,0.8283843815794297,0.06193835322883201,0.9444854896861516,0.0,0.0,1.0,2025-08-21 11:09:24,0.08571428571428572,4,0,2.8221317e-08,0
9,13,0.16994929797191888,0.10222655113940769,0.5851711962699535,0.5979616930142634,0.9552840776441203,0.49291420461332003,0.9952272592942846,0.7818912997007268,0.25,0.9285714285714286,2025-08-21 11:09:14,0.11267515923566879,5,1,0.0017269745,0
10,13,0.10676677067082684,0.20005636729891943,0.43645464967270864,0.5078734385080053,0.8671966331502183,0.6119499462505358,0.0,0.41089942283026937,0.75,1.0,2025-08-21 11:09:16,0.12455555555555554,3,0,0.99999714,1
11,13,0.0,1.0,1.0,1.0,0.9862637362659198,0.5063164403099905,0.991341095809445,0.891740594271056,0.75,1.0,2025-08-21 11:09:14,0.06419753086419754,7,1,0.79443634,1
12,13,0.12909516380655225,0.13763343865794875,0.536195227474435,0.5613868334145635,0.9413140051381564,0.09988617760509222,0.9968083220048466,0.9072787516032492,0.0,1.0,2025-08-21 11:09:14,0.12162162162162161,6,1,0.090748884,0
13,13,1.0,0.1385564745938103,0.49641532471751304,0.5168571365012467,0.9174070610411029,0.2809516114300167,0.4943850109344524,0.8631626763574177,0.75,1.0,2025-08-21 11:09:14,0.12269689737470169,3,0,0.9916578,1
14,13,0.2528276131045242,0.1027542450015828,0.46288375239073243,0.45726132960145915,0.9708908113246305,0.2527489513584915,0.9754861398427803,0.969244335185977,0.5,1.0,2025-08-21 11:09:13,0.12181395348837208,5,1,0.10927959,0
15,13,0.06825273010920437,0.06325087688414269,0.4838155284492086,0.49985338103337035,0.9207972878469066,0.6829484215925298,0.9961877179502334,0.8944928388200085,0.75,1.0,2025-08-21 11:09:14,0.1037142857142857,3,0,0.017746255,0
16,13,0.045826833073322935,0.19500472654364423,0.47787634247813704,0.526424024073823,0.9987140519233975,0.5304299254533574,0.844952420355813,0.3637238135955536,0.5,1.0,2025-08-21 11:09:14,0.1305263157894737,5,1,6.039149e-06,0
17,13,0.9827418096723869,0.09784180920183827,0.4079952976536302,0.4548979835341843,0.9153027823227893,0.24883894131120632,0.9661623027365683,0.8432423044035913,0.75,0.0,2025-08-21 11:09:14,0.12338217338217337,3,0,7.7369873e-07,0
18,13,0.31464508580343215,0.09205345298963111,0.6483484395730561,0.6231126599916275,0.9736965162606067,0.0,0.9345558248123411,0.874933197947841,0.0,1.0,2025-08-21 11:09:14,0.11659498207885306,5,1,0.12387563,0
19,13,0.08239079563182528,0.12731171244796616,0.503269902876025,0.4497723866938736,0.9395019873765317,0.8309245610460417,0.6306519297830842,0.8747995938435229,0.75,1.0,2025-08-21 11:09:13,0.10621951219512192,3,0,0.97494996,1
20,13,0.0019500780031201249,0.12966277706604906,0.0,0.0,1.0,1.0,0.994990838702051,0.904432984181274,1.0,1.0,2025-08-21 11:09:13,0.09200000000000001,5,1,0.0010247173,0
