client_rank,round,timestamp,cpu_time,cpu_freq_mhz,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load
3,39,2025-07-25 15:41,318438.0938,2400,2124.775424,12806510,455520218,868,0.04
4,39,2025-07-25 15:42,318466.0625,2400,2050.035712,12828076,455540196,860,0.01
1,40,2025-07-25 15:44,319280.7969,2400,2045.693952,12848478,455569685,852,0.01
2,40,2025-07-25 15:44,319307,2400,1996.22656,12848533,455569751,852,0.01
3,40,2025-07-25 15:44,319305.1563,2400,2057.003008,12848533,455569751,852,0.01
4,40,2025-07-25 15:44,319302.75,2400,2002.874368,12848533,455569751,852,0.01
1,41,2025-07-25 15:47,320171.4688,2400,2022.07232,12880592,455669669,852,0.01
2,41,2025-07-25 15:46,320146.6719,2400,2000.060416,12864424,455648966,852,0.08
3,41,2025-07-25 15:46,320138.7344,2400,2031.673344,12864369,455648620,852,0.01
4,41,2025-07-25 15:46,320139.625,2400,1994.11712,12864424,455648686,852,0.01
1,42,2025-07-25 15:48,320970.0625,2400,2054.660096,12885585,455674683,852,0.01
2,42,2025-07-25 15:48,320985.2188,2400,2041.688064,12885585,455674683,852,0.08
3,42,2025-07-25 15:49,321005.5313,2400,2059.751424,12893803,455681765,852,0.04
4,42,2025-07-25 15:49,321005.1406,2400,2034.999296,12893803,455681765,852,0.01
1,43,2025-07-25 15:51,321783.625,2400,2119.376896,12907615,455752564,849,0.01
2,43,2025-07-25 15:51,321820.1719,2400,2122.878976,12917619,455766722,857,0.01
3,43,2025-07-25 15:51,321809.25,2400,2130.173952,12907820,455752898,849,0.03
4,43,2025-07-25 15:51,321802.625,2400,2115.014656,12907670,455752630,849,0.02
1,44,2025-07-25 15:53,322844.0469,2400,2010.09152,14483327,467248305,838,0.19
2,44,2025-07-25 15:53,322859.6719,2400,2018.48832,14485729,467250196,834,0.03
3,44,2025-07-25 15:53,322839.2344,2400,1995.431936,14483327,467248079,838,0.19
4,44,2025-07-25 15:53,322841.0469,2400,2007.79776,14483327,467248305,838,0.19
1,45,2025-07-25 15:55,323806.7344,2400,1913.147392,15038670,467807671,626,0.01
2,45,2025-07-25 15:55,323853.4219,2400,1705.934848,15052103,467816078,618,0.02
3,45,2025-07-25 15:56,323922.2656,2400,1474.49856,15156873,467928306,623,0
4,45,2025-07-25 15:56,323923.7344,2400,1467.273216,15156873,467928532,623,0.02
1,46,2025-07-25 15:58,324854.75,2400,1959.641088,15611300,468092403,639,0.03
2,46,2025-07-25 15:58,324891.8438,2400,1527.996416,15611300,468092629,687,0
3,46,2025-07-25 15:58,324955.1406,2400,1565.40928,15955118,468206663,647,0.01
4,46,2025-07-25 15:58,324866.4219,2400,1555.243008,15611300,468092403,628,0.03
1,47,2025-07-25 16:01,325970.3437,2400,2037.039104,16265304,468616533,638,0.01
2,47,2025-07-25 16:01,326001.6406,2400,1609.232384,16283776,468624057,663,0.01
3,47,2025-07-25 16:01,325992.4687,2400,1645.842432,16283344,468622953,664,0
4,47,2025-07-25 16:01,326069.5625,2400,931.155968,16372687,468962988,629,0
1,48,2025-07-25 16:03,327013.8281,2400,1614.041088,16599528,474680715,672,0.01
2,48,2025-07-25 16:03,327020.625,2400,1010.466816,16607194,474687089,672,0.06
3,48,2025-07-25 16:04,327051.1562,2400,985.862144,16607613,474689716,672,0.01
4,48,2025-07-25 16:03,327032.7656,2400,1600.59392,16607194,474687089,672,0.06
1,49,2025-07-25 16:05,327830.0469,2400,1637.654528,16624291,474752464,672,0.01
2,49,2025-07-25 16:06,327881.4844,2400,1661.915136,16631912,474772520,672,0.01
3,49,2025-07-25 16:05,327848.4219,2400,1647.419392,16624404,474752894,672,0.01
4,49,2025-07-25 16:05,327852.9062,2400,1625.31328,16624404,474752894,672,0.01
1,50,2025-07-25 16:07,328661.4062,2400,1540.804608,16676257,474848455,672,0.01
2,50,2025-07-25 16:07,328712.9844,2400,1578.14784,16679870,474848896,672,0.01
3,50,2025-07-25 16:07,328694.0312,2400,1569.95584,16676257,474848455,672,0.01
4,50,2025-07-25 16:07,328669.5312,2400,1593.716736,16676257,474848455,672,0.09
