client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean
1,6,13679.0,0.06352762877941132,1.0839859247207642,61.33489012718201,68.2800000011921,4217.393152,63015.0,91480.0,38945.0,0.0,0.09999999999992687
2,6,3530.0,0.06357087939977646,1.1689194440841675,57.252126932144165,55.649999998509884,4029.227008,562.0,33983.0,38945.0,0.0,0.09999999999971575
3,6,20.0,0.05938616022467613,1.023446798324585,69.9999988079071,12.339999996125698,3502.600192,29689.0,26875.0,38941.0,0.0,0.10937499994609373
4,6,9.0,0.06863930821418762,0.8413057327270508,88.88888955116272,43.73999999463558,3517.222912,9484.0,30204.0,38941.0,0.0,0.13888888878703703
5,6,1456.0,0.0626995638012886,1.1742243766784668,60.64560413360596,35.649999998509884,3938.7136,49878.0,36263.0,38945.0,0.0,0.0999999999993099
6,6,10385.0,0.0634772777557373,1.0256359577178955,63.17765712738037,10.729999996721745,4240.437248,20932.0,53467.0,38945.0,0.0,0.09999999999990365
7,6,784.0,0.06492987275123596,1.2596248388290405,57.27040767669678,48.769999999552965,3927.990272,392.0,29569.0,38945.0,0.0,0.09999999999871517
8,6,4435.0,0.06335093826055527,1.3381118774414062,55.19729256629944,71.95000000018626,4075.19232,32210.0,61899.0,38945.0,0.0,0.09999999999977403
9,6,9889.0,0.06286796927452087,1.1445223093032837,59.672361612319946,34.100000001490116,4295.774208,1100.0,33703.0,38943.0,0.0,0.09999999999989888
10,6,5813.0,0.06278534978628159,1.1614468097686768,57.02735185623169,68.13000000268221,4102.344704,32848.0,65675.0,38945.0,0.0,0.09999999999982771
