client_rank,round,data_size,data_variance,local_loss,local_accuracy
1,1,194,0.06092841178178787,2.7807836532592773,11.855670064687729
4,1,1149,0.06418994814157486,2.1889796257019043,21.235857903957367
2,1,20090,0.06359273195266724,1.5443243980407715,48.347437381744385
7,1,2592,0.06287551671266556,2.4790594577789307,15.97222238779068
10,1,267,0.06478359550237656,2.5065972805023193,11.985018849372864
5,1,2602,0.062696672976017,2.723588228225708,15.334358811378479
8,1,2937,0.06309162080287933,2.5294010639190674,13.61933946609497
6,1,2669,0.06302989274263382,2.3794407844543457,19.895091652870178
9,1,7748,0.06269324570894241,2.897351026535034,15.28136283159256
3,1,9752,0.06339762359857559,2.1698241233825684,27.625101804733276
7,2,2592,0.06287551671266556,2.858379364013672,10.108024626970291
10,2,267,0.06478359550237656,2.624910593032837,7.865168899297714
1,2,194,0.06092841178178787,2.849043607711792,9.793814271688461
5,2,2602,0.062696672976017,3.188911199569702,12.336663901805878
4,2,1149,0.06418994814157486,2.8730218410491943,11.836379766464233
6,2,2669,0.06302989274263382,2.570035696029663,20.157362520694733
8,2,2937,0.06309162080287933,2.7047595977783203,12.325502187013626
9,2,7748,0.06269324570894241,1.9384796619415283,29.891586303710938
3,2,9752,0.06339762359857559,2.0018999576568604,29.532402753829956
2,2,20090,0.06359273195266724,1.332671880722046,52.244895696640015
7,3,2592,0.06287551671266556,2.365809917449951,20.910494029521942
1,3,194,0.06092841178178787,3.196563959121704,9.793814271688461
10,3,267,0.06478359550237656,2.8673183917999268,7.865168899297714
5,3,2602,0.062696672976017,2.6373960971832275,15.795542299747467
6,3,2669,0.06302989274263382,2.201978921890259,25.477707386016846
8,3,2937,0.06309162080287933,2.549734115600586,18.283963203430176
4,3,1149,0.06418994814157486,2.953110933303833,12.967798113822937
9,3,7748,0.06269324570894241,1.8254237174987793,35.196179151535034
3,3,9752,0.06339762359857559,1.4070981740951538,49.53855574131012
2,3,20090,0.06359273195266724,1.209423303604126,55.95818758010864
7,4,2592,0.06287551671266556,1.7290624380111694,35.14660596847534
10,4,267,0.06478359550237656,2.6581928730010986,15.730337798595428
1,4,194,0.06092841178178787,2.9608147144317627,11.855670064687729
6,4,2669,0.06302989274263382,1.8675868511199951,37.27988004684448
5,4,2602,0.062696672976017,1.8489679098129272,34.47348177433014
4,4,1149,0.06418994814157486,2.722382068634033,18.01566630601883
8,4,2937,0.06309162080287933,1.51804780960083,45.72693109512329
9,4,7748,0.06269324570894241,1.2853955030441284,53.48476767539978
3,4,9752,0.06339762359857559,1.2603861093521118,55.814194679260254
2,4,20090,0.06359273195266724,1.109740972518921,60.33349633216858
7,5,2592,0.06287551671266556,1.4916812181472778,48.032405972480774
10,5,267,0.06478359550237656,1.8589107990264893,37.827715277671814
6,5,2669,0.06302989274263382,1.2890985012054443,54.17759418487549
1,5,194,0.06092841178178787,1.9263681173324585,26.80412232875824
5,5,2602,0.062696672976017,1.3625234365463257,51.30668878555298
4,5,1149,0.06418994814157486,2.330890655517578,26.457789540290833
8,5,2937,0.06309162080287933,1.3222992420196533,53.08137536048889
9,5,7748,0.06269324570894241,1.1099613904953003,59.86061096191406
3,5,9752,0.06339762359857559,1.247480034828186,56.53199553489685
2,5,20090,0.06359273195266724,1.0896908044815063,61.72722578048706
7,6,2592,0.06287551671266556,1.2385274171829224,55.97993731498718
10,6,267,0.06478359550237656,1.244201898574829,59.550559520721436
1,6,194,0.06092841178178787,1.2801705598831177,54.63917255401611
5,6,2602,0.062696672976017,1.5121076107025146,47.38662540912628
6,6,2669,0.06302989274263382,1.1953610181808472,56.950169801712036
4,6,1149,0.06418994814157486,1.3054814338684082,55.09138107299805
8,6,2937,0.06309162080287933,1.143257975578308,60.09533405303955
9,6,7748,0.06269324570894241,1.0841346979141235,60.325247049331665
3,6,9752,0.06339762359857559,1.3947094678878784,52.23543643951416
2,6,20090,0.06359273195266724,1.062451958656311,62.439024448394775
7,7,2592,0.06287551671266556,1.0125540494918823,63.348764181137085
6,7,2669,0.06302989274263382,1.0359201431274414,64.21880722045898
10,7,267,0.06478359550237656,1.0112031698226929,68.53932738304138
4,7,1149,0.06418994814157486,1.3298940658569336,50.478678941726685
5,7,2602,0.062696672976017,1.1388968229293823,60.26133894920349
1,7,194,0.06092841178178787,0.9066022038459778,73.19587469100952
8,7,2937,0.06309162080287933,1.0685964822769165,61.45727038383484
9,7,7748,0.06269324570894241,1.0082602500915527,63.267940282821655
