client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean,classification_score,class_label
1,9,13679.0,0.06352762877941132,0.8193046450614929,71.14555239677429,73.57000000402331,4725.653504,72218.0,111395.0,38949.0,0.0,0.09999999999992686,9,1
2,9,3530.0,0.06357087939977646,0.8958159685134888,68.10198426246643,61.809999998658895,4611.006464,2840.0,37230.0,38949.0,0.0,0.09999999999971576,4,0
3,9,20.0,0.05938616022467613,0.6510776877403259,80.0000011920929,12.75,3938.69312,70678.0,34020.0,38943.0,0.0,0.08641975304382715,2,0
4,9,9.0,0.06863930821418762,0.3989819288253784,88.88888955116272,44.50999999791384,3959.451648,9567.0,28550.0,38943.0,0.0,0.13888888878703703,3,0
5,9,1456.0,0.0626995638012886,0.8501237034797668,72.59615659713745,38.0,4509.487104,30152.0,39553.0,38947.0,0.0,0.0999999999993099,1,0
6,9,10385.0,0.0634772777557373,0.8722873330116272,68.86855959892273,23.62999999523163,4926.967808,52740.0,69607.0,38949.0,0.0,0.09999999999990361,8,1
7,9,784.0,0.06492987275123596,0.8244178295135498,71.42857313156128,51.37999999895692,4512.985088,80146.0,54059.0,38947.0,0.0,0.0999999999987152,4,0
8,9,4435.0,0.06335093826055527,1.0141712427139282,63.72040510177612,74.8800000003539,4622.073856,32621.0,69115.0,38947.0,0.0,0.09999999999977405,5,0
9,9,9889.0,0.06286796927452087,0.9011333584785461,68.36889386177063,35.71999999880791,4883.910656,111821.0,69245.0,38947.0,0.0,0.09999999999989888,6,1
10,9,5813.0,0.06278534978628159,0.9394543766975403,67.17701554298401,74.92000000178814,4725.993472,40723.0,72140.0,38947.0,0.0,0.09999999999982771,6,1
