client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label,p_select,mlp_label
1,14,0.1730749300445642,0.16721557271176576,0.10614037346359706,0.10697126437648023,0.7413858626368406,0.6209367999772637,0.5595747822235346,0.4830395115928111,0.75,0.9411764705882353,2025-08-20 16:58:26,0.11550335570469798,1,0,0.021314882,0
2,14,0.685874183853249,0.5137958385998659,0.11993651155647844,0.1089122493867995,0.9566759564163358,0.7200865024635634,1.0,0.9946837700644807,1.0,1.0,2025-08-20 16:58:19,0.12259191176470587,7,1,0.0362294,0
3,14,0.760182402321484,0.19506439508576906,0.054949137517219304,0.059042879562445444,0.9602229541336347,0.8910141302859389,0.9999731554434049,0.9949238578680203,1.0,0.0,2025-08-20 16:58:19,0.11970826580226904,7,1,2.0124078e-06,0
4,14,0.053373406570629084,0.6505080595231728,0.5453180491465288,0.4769026552674941,0.547884469186483,0.4123594141189175,0.0,0.16495747016051587,0.25,1.0,2025-08-20 16:58:26,0.10884615384615386,3,0,0.9999559,1
5,14,0.05119701523473935,0.0,0.0731363143965379,0.09776232695082229,0.7837598175726681,0.5243888890324282,0.7974443982121525,0.2540300452737001,0.5,1.0,2025-08-20 16:58:26,0.11847826086956523,1,0,2.6318514e-07,0
6,14,0.10840501606384081,0.22004901582629607,0.23246619130031676,0.2225303509753167,0.830884215883354,1.0,0.9836248204770278,0.4967588146522157,1.0,0.9411764705882353,2025-08-20 16:58:26,0.11670212765957448,6,1,7.4235777e-07,0
7,14,0.17120945175665872,0.5738253905145232,0.4000144375516115,0.35285298414196403,0.7669115784022263,0.18646861701990225,0.9946713555158853,0.4290883523117026,0.0,1.0,2025-08-20 16:58:26,0.12078014184397158,6,1,5.7088337e-06,0
8,14,0.41496528137630845,0.3200448619427135,0.0972272544190863,0.095759531932407,0.972320749929218,0.8953495882865123,0.9737862904849469,0.9856118809164495,1.0,1.0,2025-08-20 16:58:19,0.11997041420118344,7,1,0.019109739,0
9,14,0.030676754067779043,0.8468364220424872,0.2827589885253642,0.17356099517128157,0.9637066126368456,0.7394617107748277,0.9987248835617357,0.9975305254493072,0.75,1.0,2025-08-20 16:58:19,0.1196551724137931,8,1,0.59861076,1
10,14,0.46916778940822884,0.1809372348190578,0.2757186130386724,0.262678589465464,0.7898403850981499,0.6182729995013452,0.43470732722172256,0.60622170393744,0.75,1.0,2025-08-20 16:58:20,0.12372972972972972,4,0,0.939035,1
11,14,0.10249766815214012,0.5032647546933994,0.37689734257091456,0.39629449001466854,0.6237648847206492,0.36517836611625154,0.3711125726480813,0.05156743037453693,0.25,1.0,2025-08-20 16:58:26,0.1118279569892473,3,0,0.029342731,0
12,14,0.0,1.0,1.0,1.0,1.0,0.45713244850028845,0.24914432975853318,0.9518452462614899,0.25,1.0,2025-08-20 16:58:18,0.07285714285714286,5,1,1.0,1
13,14,0.008083739247590423,0.09455228058099917,0.7815414523257332,0.625165266393597,0.0,0.7939494782206536,0.6145390118518718,0.5387741802716421,0.75,1.0,2025-08-20 16:58:25,0.086,3,0,0.89390355,1
14,14,0.05451342107990465,0.41230063831346236,0.1499804127484501,0.12072549873892507,0.7888269571654384,0.7876684899015868,0.6579466598660457,0.15072369323638357,0.75,1.0,2025-08-20 16:58:26,0.10490909090909092,2,0,1.3367236e-05,0
15,14,0.1010467405948803,0.4571329104284189,0.33718258077212393,0.2876373953564101,0.9840385102633071,0.6571448502871791,0.7822906460142545,0.9816847304156949,0.5,1.0,2025-08-20 16:58:18,0.114,5,1,0.9489718,1
16,14,0.20572080008291013,0.1306000779347658,0.0,0.009469745508598375,0.9789080314092576,0.7452440439126606,0.998134303316645,0.9903278913431197,0.75,0.9411764705882353,2025-08-20 16:58:19,0.12119047619047618,6,1,0.0029645222,0
17,14,0.07057726189242408,0.40589376739438743,0.10066881727945032,0.0,0.9965796807757649,0.8131567456677717,0.9999328886085124,0.9958842090821787,0.75,0.9411764705882353,2025-08-20 16:58:18,0.12406779661016949,6,1,0.048057847,0
18,14,0.5812001243652192,0.109524063843218,0.04388509915931149,0.08658677597490212,0.9854953128922468,0.7841856547497552,0.576084184529482,0.9722870078200028,1.0,1.0,2025-08-20 16:58:19,0.12437362637362635,6,1,0.9876357,1
19,14,1.0,0.14995519739848298,0.18949056593363145,0.1378016441462158,0.7984545223905222,0.0,0.3326577453256916,0.0,0.25,1.0,2025-08-20 16:58:28,0.12749003984063745,4,0,5.238548e-05,0
20,14,0.03440771064359001,0.5649123431661661,0.09949220280254023,0.11042471013367545,0.8910564985843696,0.9658330771158614,0.9987114612834382,1.0,0.75,1.0,2025-08-20 16:58:19,0.10078947368421053,5,1,0.22247843,0
