client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean,classification_score,class_label
1,10,13679.0,0.06352762877941132,0.8353383541107178,70.05628943443298,67.19999999925494,4928.200704,89526.0,99560.0,38949.0,0.0,0.09999999999992686,8,1
2,10,3530.0,0.06357087939977646,0.80960613489151,71.81302905082703,58.53999999910593,4800.323584,980.0,32605.0,38949.0,0.0,0.09999999999971575,4,0
3,10,20.0,0.05938616022467613,0.5913051962852478,85.00000238418579,14.109999999403954,4006.039552,956.0,24807.0,38943.0,0.0,0.10937499994609373,2,0
4,10,9.0,0.06863930821418762,0.19776752591133118,100.0,43.95000000298023,4029.390848,39402.0,38681.0,38943.0,0.0,0.19999999985333333,4,0
5,10,1456.0,0.0626995638012886,0.8954625129699707,68.20054650306702,35.2200000025332,4695.744512,333.0,28625.0,38949.0,0.0,0.0999999999993099,1,0
6,10,10385.0,0.0634772777557373,0.898889422416687,68.55079531669617,13.480000004172325,5107.085312,51381.0,52666.0,38949.0,0.0,0.09999999999990364,7,1
7,10,784.0,0.06492987275123596,0.8844305276870728,68.11224222183228,46.98999999836087,4663.365632,2984.0,33405.0,38949.0,0.0,0.09999999999871517,3,0
8,10,4435.0,0.06335093826055527,0.8348122239112854,70.2142059803009,68.64999999990687,4793.737216,75357.0,82386.0,38949.0,0.0,0.09999999999977405,5,0
9,10,9889.0,0.06286796927452087,0.9517431855201721,67.31722354888916,33.899999998509884,5101.81376,37924.0,40085.0,38949.0,0.01,0.09999999999989885,6,1
10,10,5813.0,0.06278534978628159,0.8100053668022156,71.94219827651978,79.71000000089407,4955.27936,107534.0,85100.0,38949.0,0.0,0.09999999999982771,6,1
