client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean
1,15,13679.0,0.06352762877941132,0.687654435634613,75.88273882865906,66.58999999985099,5870.91968,52327.0,127551.0,38955.0,0.0,0.09999999999992686
2,15,3530.0,0.06357087939977646,0.7542784810066223,73.3144462108612,61.45000000298023,5724.721152,3465.0,64609.0,38955.0,0.0,0.09999999999971575
3,15,20.0,0.05938616022467613,0.4537560045719147,85.00000238418579,14.03999999910593,4762.39872,40614.0,39994.0,38947.0,0.0,0.10937499994609373
4,15,9.0,0.06863930821418762,0.15833763778209686,88.88888955116272,43.939999997615814,4771.241984,8099.0,43301.0,38945.0,0.0,0.13888888878703703
5,15,1456.0,0.0626995638012886,0.6135338544845581,80.56318759918213,39.980000000447035,5592.666112,64119.0,72228.0,38955.0,0.0,0.09999999999930989
6,15,10385.0,0.0634772777557373,0.6411644220352173,77.37120985984802,13.200000002980232,6098.296832,44972.0,103883.0,38955.0,0.0,0.09999999999990364
7,15,784.0,0.06492987275123596,0.5142847895622253,83.92857313156128,50.17000000178814,5666.97984,46500.0,97511.0,38955.0,0.01,0.09999999999871517
8,15,4435.0,0.06335093826055527,0.6708090901374817,76.21195316314697,67.85999999940395,5756.788736,45961.0,94377.0,38955.0,0.0,0.09999999999977405
9,15,9889.0,0.06286796927452087,0.6780788898468018,76.52947902679443,36.27999999374151,6063.423488,72461.0,72960.0,38955.0,0.0,0.09999999999989888
10,15,5813.0,0.06278534978628159,0.6976659893989563,76.03647112846375,91.07000000029802,5852.680192,81139.0,134662.0,38955.0,0.0,0.0999999999998277
