client_rank,round,data_size,data_variance,local_loss,local_accuracy
33,1,18,0.06637631356716156,2.928290843963623,5.55555559694767
client_rank,round,data_size,data_variance,local_loss,local_accuracy
34,1,9,0.05088473856449127,3.1500329971313477,0.0
30,1,2,0.03961440920829773,3.8526244163513184,0.0
40,1,6,0.07636207342147827,3.159447431564331,16.66666716337204
50,1,20,0.060654155910015106,3.627321243286133,10.000000149011612
43,1,44,0.06245296075940132,3.675044059753418,9.090909361839294
37,1,69,0.06264477223157883,4.00851583480835,10.144927352666855
41,1,233,0.06213654950261116,4.282648086547852,14.592275023460388
39,1,334,0.06224486604332924,4.082394599914551,11.676646769046783
5,1,76,0.07305004447698593,2.860107421875,9.210526198148727
15,1,428,0.06435780972242355,4.288634300231934,11.682242900133133
38,1,432,0.06299155205488205,4.2699384689331055,9.02777761220932
47,1,450,0.0644865483045578,3.069713592529297,10.444444417953491
36,1,703,0.06370081007480621,4.528453826904297,8.819345384836197
45,1,171,0.062018100172281265,3.6878180503845215,9.941520541906357
17,1,953,0.06317947059869766,2.7030112743377686,15.005247294902802
21,1,336,0.06438511610031128,4.319336891174316,14.88095223903656
42,1,178,0.06381475925445557,3.4949495792388916,9.550561755895615
22,1,1106,0.06436236947774887,2.6559360027313232,13.924050331115723
6,1,742,0.0650319755077362,4.982019424438477,9.433962404727936
26,1,102,0.06432703882455826,3.284107208251953,17.64705926179886
24,1,285,0.06438607722520828,4.758343696594238,16.842105984687805
2,1,1893,0.06272799521684647,3.1962878704071045,15.266771614551544
9,1,1957,0.06353020668029785,2.5897183418273926,17.015840113162994
8,1,930,0.06427856534719467,3.4318761825561523,13.333334028720856
31,1,2477,0.06297549605369568,2.4182610511779785,19.014936685562134
3,1,444,0.06168828904628754,4.3799872398376465,9.909909963607788
18,1,1188,0.06375398486852646,3.1284148693084717,11.784511804580688
4,1,1978,0.0644981637597084,3.6470391750335693,15.672396123409271
35,1,1683,0.06292140483856201,2.5710389614105225,17.05288141965866
13,1,499,0.06328179687261581,4.14828634262085,10.220441222190857
16,1,2092,0.06358769536018372,2.5950963497161865,19.16826069355011
11,1,2681,0.06270787119865417,2.4411017894744873,20.626631379127502
49,1,1507,0.063163623213768,2.4220821857452393,16.191108524799347
12,1,2239,0.06357159465551376,2.378657102584839,19.830282032489777
23,1,1587,0.06384697556495667,2.2583134174346924,20.919974148273468
32,1,2033,0.062356848269701004,2.974609375,16.92080646753311
27,1,2116,0.06215247884392738,2.282180070877075,24.007561802864075
7,1,42,0.07293379306793213,3.0421884059906006,7.14285746216774
28,1,1275,0.06321302056312561,3.0990567207336426,15.999999642372131
25,1,49,0.07454814016819,3.3604798316955566,6.122449040412903
20,1,1823,0.06320512294769287,2.309171676635742,20.954470336437225
44,1,3135,0.06253901869058609,2.404841899871826,22.55183458328247
14,1,5833,0.06369656324386597,2.2868094444274902,21.206925809383392
10,1,2246,0.06322770565748215,2.4979827404022217,17.40872710943222
48,1,365,0.061376094818115234,2.9242682456970215,14.794521033763885
29,1,377,0.0623992383480072,3.53971791267395,15.649867057800293
19,1,854,0.061128925532102585,2.797325372695923,11.241217702627182
