client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label,p_select,mlp_label
1,7,0.1730749300445642,0.16721557271176576,0.8977934987944308,0.8292940345137215,0.5480740667629318,0.3930981879858094,0.9697766788541968,0.5093913909807484,0.0,1.0,2025-08-20 16:53:45,0.11550335570469797,5,1,9.601704e-05,0
2,7,0.685874183853249,0.5137958385998659,0.8492946458002519,0.6432196865692109,0.9445489652745381,0.4095222324255702,0.9983691506431334,0.9389486330471474,1.0,1.0,2025-08-20 16:53:38,0.10950738916256159,7,1,0.18905486,0
3,7,0.760182402321484,0.19506439508576906,0.5743445501746025,0.612633813024976,0.9464303396721306,0.6059132581630964,1.0,0.9448823512175111,1.0,1.0,2025-08-20 16:53:38,0.11540624999999999,7,1,0.016815452,0
4,7,0.053373406570629084,0.6505080595231728,0.4966911684734867,0.7555595500083965,0.3192395286920432,0.19572864447689475,0.9299260856985033,0.5828229847334955,0.0,1.0,2025-08-20 16:53:45,0.10107142857142858,2,0,0.083845176,0
5,7,0.05119701523473935,0.0,0.5253671506233655,0.0,0.6689771264088539,0.14993903081578275,0.7664991977273325,0.44187886424238876,0.0,1.0,2025-08-20 16:53:45,0.11595744680851063,1,0,0.00021034709,0
6,7,0.10840501606384081,0.22004901582629607,0.6525634868976964,0.583916353958727,1.0,1.0,0.9893731751584818,0.9358572391361678,1.0,1.0,2025-08-20 16:53:37,0.11080808080808083,5,1,0.08377282,0
7,7,0.17120945175665872,0.5738253905145232,0.8944737912098025,0.6460278052396409,0.6646202594527426,0.10751150385636377,0.1546676486834837,0.5258006856740998,0.0,1.0,2025-08-20 16:53:45,0.11992957746478874,5,1,0.9999949,1
8,7,0.41496528137630845,0.3200448619427135,0.6541915491355207,0.556769649341093,0.9787107634932222,0.8689538892317883,0.9977904621616646,0.9396665396899815,1.0,1.0,2025-08-20 16:53:38,0.1126388888888889,5,1,0.075966865,0
9,7,0.030676754067779043,0.8468364220424872,0.0,0.051399263243328344,0.9733636994362393,0.7410691435711384,0.9777994055291054,0.9351539836493099,1.0,1.0,2025-08-20 16:53:38,0.1196551724137931,6,1,0.33266294,0
10,7,0.46916778940822884,0.1809372348190578,0.68270690027324,0.5495543482413456,0.0,0.5189757177051499,0.14464581634531914,0.519500688604331,1.0,1.0,2025-08-20 16:53:46,0.11768637532133676,2,0,0.99999464,1
11,7,0.10249766815214012,0.5032647546933994,0.8315599781140215,0.5157882122780498,0.1531834835039012,0.1324260717278618,0.5116395296840888,0.0,0.0,1.0,2025-08-20 16:53:49,0.12839506172839507,3,0,0.0128182145,0
12,7,0.0,1.0,0.925214551161814,0.9894252357986895,0.7556193682901549,0.3610830937219305,0.7656574690270143,0.4095877164708296,0.0,1.0,2025-08-20 16:53:45,0.085,3,0,0.19261064,0
13,7,0.008083739247590423,0.09455228058099917,1.0,0.08106714556125072,0.7873056738212133,0.9634235075094967,0.999526527606071,1.0,1.0,1.0,2025-08-20 16:53:37,0.1075,4,0,0.20275196,0
14,7,0.05451342107990465,0.41230063831346236,0.7086220369016285,0.6453143006817045,0.9660362412512886,0.6824233118059425,0.9490754136307441,0.9670935036774402,1.0,0.0,2025-08-20 16:53:38,0.10685185185185185,7,1,0.025111375,0
15,7,0.1010467405948803,0.4571329104284189,0.9653120675721124,1.0,0.9607881969154594,0.6650056954752337,0.5958650077596865,0.8839042400445395,1.0,1.0,2025-08-20 16:53:38,0.1026,6,1,0.9986565,1
16,7,0.20572080008291013,0.1306000779347658,0.8455967860411651,0.6989950744548601,0.9369244479952914,0.5907437236866537,0.9937922508351527,0.8787177308289624,0.0,1.0,2025-08-20 16:53:39,0.11374301675977654,7,1,0.05306999,0
17,7,0.07057726189242408,0.40589376739438743,0.5673537546662473,0.20236759282086833,0.9866323399313184,0.8180057306015126,0.14664492200857515,0.926363290063586,1.0,0.0,2025-08-20 16:53:37,0.11806451612903227,5,1,0.99998856,1
18,7,0.5812001243652192,0.109524063843218,0.6842178357313646,0.7660631286625175,0.7233389444828962,0.47533884314109254,0.0,0.3501333255193835,1.0,0.0,2025-08-20 16:53:46,0.11161735700197237,3,0,0.9951786,1
19,7,1.0,0.14995519739848298,0.6744528087838392,0.598943100759981,0.5862956728572639,0.0,0.0007365126127785171,0.1534855100067395,0.0,1.0,2025-08-20 16:53:48,0.11858190709046454,2,0,0.9997664,1
20,7,0.03440771064359001,0.5649123431661661,0.1782954037778406,0.06874764833460115,0.8300821863508513,0.7171381115108817,0.999473919562301,0.940193981305125,0.0,0.0,2025-08-20 16:53:38,0.1035135135135135,5,1,0.0012724119,0
