client_rank,round,data_size,data_variance,local_loss,local_accuracy
9,1,2,0.05208547040820122,2.608975648880005,0.0
4,1,2489,0.06353280693292618,2.3800601959228516,14.584170281887054
6,1,1830,0.06324847787618637,2.515026569366455,15.737704932689667
1,1,1003,0.06309135258197784,2.3021047115325928,13.758723437786102
2,1,3697,0.0640118271112442,2.4820566177368164,18.93427073955536
8,1,317,0.06050576642155647,2.4455268383026123,10.094637423753738
3,1,818,0.06484752148389816,2.306478977203369,13.325183093547821
7,1,5487,0.06327204406261444,2.829627513885498,19.464188814163208
5,1,2007,0.06337431818246841,2.407642364501953,17.33931303024292
10,1,32350,0.0631716400384903,1.2685960531234741,54.42967414855957
9,2,2,0.05208547040820122,1.9348294734954834,0.0
8,2,317,0.06050576642155647,2.334177017211914,9.463722258806229
1,2,1003,0.06309135258197784,2.508051633834839,17.248255014419556
6,2,1830,0.06324847787618637,2.809352159500122,15.464480221271515
5,2,2007,0.06337431818246841,2.638070583343506,10.662680864334106
4,2,2489,0.06353280693292618,2.72981595993042,16.874246299266815
3,2,818,0.06484752148389816,2.289046049118042,13.202933967113495
2,2,3697,0.0640118271112442,2.967217206954956,16.12117886543274
7,2,5487,0.06327204406261444,2.257246255874634,23.929287493228912
10,2,32350,0.0631716400384903,1.1486876010894775,59.1097354888916
9,3,2,0.05208547040820122,2.358259916305542,0.0
8,3,317,0.06050576642155647,2.5599002838134766,8.832807838916779
5,3,2007,0.06337431818246841,2.218926429748535,20.229198038578033
1,3,1003,0.06309135258197784,2.4488775730133057,21.535393595695496
4,3,2489,0.06353280693292618,2.5618691444396973,20.0482115149498
6,3,1830,0.06324847787618637,2.6246633529663086,17.431694269180298
3,3,818,0.06484752148389816,2.421168327331543,18.33740770816803
2,3,3697,0.0640118271112442,2.4884192943573,21.585069596767426
7,3,5487,0.06327204406261444,1.9152857065200806,29.105156660079956
10,3,32350,0.0631716400384903,1.0544077157974243,62.38639950752258
9,4,2,0.05208547040820122,2.9125428199768066,0.0
8,4,317,0.06050576642155647,2.816941738128662,8.832807838916779
4,4,2489,0.06353280693292618,2.9688785076141357,13.25833648443222
5,4,2007,0.06337431818246841,2.2626965045928955,21.17588371038437
1,4,1003,0.06309135258197784,2.1890294551849365,24.426719546318054
6,4,1830,0.06324847787618637,2.057598829269409,27.267760038375854
3,4,818,0.06484752148389816,2.311124086380005,19.437652826309204
2,4,3697,0.0640118271112442,1.9296705722808838,32.86448419094086
7,4,5487,0.06327204406261444,1.7697595357894897,36.413341760635376
10,4,32350,0.0631716400384903,1.0110185146331787,64.89026546478271
9,5,2,0.05208547040820122,2.305698871612549,0.0
8,5,317,0.06050576642155647,1.9627240896224976,25.55204927921295
5,5,2007,0.06337431818246841,2.042041778564453,31.788739562034607
4,5,2489,0.06353280693292618,1.6708598136901855,34.55202877521515
1,5,1003,0.06309135258197784,1.9826174974441528,29.112660884857178
6,5,1830,0.06324847787618637,1.9793139696121216,32.02185928821564
3,5,818,0.06484752148389816,2.0403947830200195,21.638141572475433
2,5,3697,0.0640118271112442,1.658128261566162,41.682446002960205
7,5,5487,0.06327204406261444,1.3555908203125,49.553489685058594
10,5,32350,0.0631716400384903,0.8736032247543335,69.11901235580444
9,6,2,0.05208547040820122,1.8907499313354492,0.0
8,6,317,0.06050576642155647,1.679335594177246,36.593058705329895
5,6,2007,0.06337431818246841,1.5112680196762085,44.64374780654907
4,6,2489,0.06353280693292618,1.2613568305969238,55.202895402908325
1,6,1003,0.06309135258197784,1.7531801462173462,33.499500155448914
6,6,1830,0.06324847787618637,1.4305557012557983,51.256829500198364
2,6,3697,0.0640118271112442,1.1707942485809326,59.29131507873535
3,6,818,0.06484752148389816,1.815938115119934,30.44009804725647
7,6,5487,0.06327204406261444,1.1196966171264648,59.50428247451782
10,6,32350,0.0631716400384903,0.8597171902656555,69.14682984352112
9,7,2,0.05208547040820122,1.2275362014770508,50.0
8,7,317,0.06050576642155647,1.323409914970398,52.99684405326843
5,7,2007,0.06337431818246841,1.0808981657028198,62.481313943862915
4,7,2489,0.06353280693292618,1.1073203086853027,60.42587161064148
1,7,1003,0.06309135258197784,1.139859914779663,59.122633934020996
3,7,818,0.06484752148389816,1.2783647775650024,52.20049023628235
6,7,1830,0.06324847787618637,1.0326579809188843,63.82513642311096
2,7,3697,0.0640118271112442,0.9960119128227234,64.78225588798523
7,7,5487,0.06327204406261444,0.9953235387802124,63.91471028327942
10,7,32350,0.0631716400384903,0.858548104763031,69.51468586921692
9,8,2,0.05208547040820122,0.5064589977264404,100.0
8,8,317,0.06050576642155647,0.9383499622344971,69.71608996391296
5,8,2007,0.06337431818246841,0.9482672214508057,67.8126573562622
4,8,2489,0.06353280693292618,0.925053060054779,68.22016835212708
1,8,1003,0.06309135258197784,1.0144625902175903,61.91425919532776
6,8,1830,0.06324847787618637,0.96683669090271,66.0109281539917
2,8,3697,0.0640118271112442,0.9746584296226501,65.05274772644043
3,8,818,0.06484752148389816,1.1491235494613647,59.41320061683655
7,8,5487,0.06327204406261444,0.9912382364273071,65.26334881782532
10,8,32350,0.0631716400384903,0.8863694071769714,68.83771419525146
9,9,2,0.05208547040820122,0.47243809700012207,100.0
