client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean
1,19,13679.0,0.06352762877941132,0.6459726691246033,76.96468830108643,73.64999999850988,6447.771648,107115.0,130796.0,38961.0,0.01,0.09999999999992687
2,19,3530.0,0.06357087939977646,0.6034954786300659,78.41359972953796,64.1900000013411,6441.75872,101846.0,90028.0,38961.0,0.0,0.09999999999971573
3,19,20.0,0.05938616022467613,0.38753145933151245,85.00000238418579,12.609999999403954,5294.809088,10053.0,38156.0,38949.0,0.0,0.10937499994609375
4,19,9.0,0.06863930821418762,0.06053580343723297,100.0,41.860000006854534,5307.850752,9681.0,43573.0,38949.0,0.0,0.19999999985333333
5,19,1456.0,0.0626995638012886,0.4959396421909332,83.92857313156128,38.78999999538064,6310.969344,15470.0,59422.0,38961.0,0.0,0.09999999999930989
6,19,10385.0,0.0634772777557373,0.5944539308547974,79.10447716712952,11.57999999821186,6965.358592,76067.0,108014.0,38961.0,0.0,0.09999999999990367
7,19,784.0,0.06492987275123596,0.5434906482696533,82.39796161651611,54.86999999731779,6307.4304,81567.0,70496.0,38961.0,0.0,0.09999999999871517
8,19,4435.0,0.06335093826055527,0.6367183327674866,77.5422751903534,70.07000000029802,6492.905472,65450.0,83108.0,38961.0,0.0,0.09999999999977405
9,19,9889.0,0.06286796927452087,0.5811290144920349,79.3609082698822,36.21999999880791,6821.650432,74772.0,69774.0,38959.0,0.0,0.09999999999989885
10,19,5813.0,0.06278534978628159,0.5421162247657776,81.40375018119812,94.61000000685453,6682.103808,36803.0,83559.0,38961.0,0.0,0.0999999999998277
