cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,client_rank,round,timestamp,participated,data_size,data_variance,local_loss,local_accuracy,tn,fp,fn,tp,precision,recall,f1,confusion_mean
0.17508906804729982,0.014080134013993491,0.13091468051973137,0.0004663732432433007,0.0,0.0,1,1,2025-08-18 18:46:09,0.0,0.04687321801938795,0.9410189813524837,0.7299167799447273,0.16842105984687805,0.9145448493925779,0.0854551506074222,0.0854551506074222,0.008945851791320803,0.1003704983124754,0.1686546720162131,0.0762869477096253,0.16865467218349808
0.2885336583349074,0.033970712471770734,0.07984592355329499,0.0002860628150628421,0.0,0.0,2,1,2025-08-18 18:46:10,0.0,0.49872647785592095,0.9629815163648282,0.5132470254585141,0.4034753441810608,0.3487269096355467,0.6512730903644534,0.6512730903644534,0.2276891316502516,0.4890216861690376,0.4017287338390802,0.3796238621776596,0.4017287342405038
1.0,0.014164232551995639,0.04526926156780531,0.00023286779933340637,0.0,0.0,3,1,2025-08-18 18:46:12,0.0,0.1323702718114427,0.9439540719212908,0.904442337145184,0.18226176500320435,0.7629389249459144,0.23706107505408555,0.23706107505408555,0.027310653305234182,0.1284889343560071,0.1852633205163416,0.0848272603162036,0.18526332070106272
0.5492218263640789,0.014106467899630526,0.03422959764680319,0.00011460212070151956,0.0,0.0,4,1,2025-08-18 18:46:11,0.0,0.04846987264778559,0.9636427368458176,0.8206811149237576,0.1440877020359039,0.9090530870361125,0.0909469129638875,0.0909469129638875,0.00791363812309148,0.1058032927144351,0.1369833166287225,0.0535635740119503,0.13698331676467332
0.14471216949781857,0.014895210248468713,0.04315770201156479,0.0001682724714788827,0.0,0.25,5,1,2025-08-18 18:46:09,0.0,0.05299372742824558,0.99026150833762,0.7393295071927776,0.17765043675899506,0.9044766184057248,0.09552338159427526,0.09552338159427526,0.010666207905036343,0.1926760285202425,0.1760167633593163,0.1244074744871713,0.17601676353408005
0.5056253515635101,0.0,0.001256473504404196,4.669490556184323e-05,0.0,0.0,6,1,2025-08-18 18:46:06,0.0,0.006006462649686371,1.0,0.7807810159496613,0.10000000149011612,0.9880179730404394,0.011982026959560658,0.011982026959560658,0.0006881424454862156,0.01,0.1,0.0181818181818181,0.10000000009375
0.7094037127226721,0.013773046928258465,0.002670886432500513,9.874216105360062e-05,0.0,0.0,7,1,2025-08-18 18:46:09,0.0,0.045200532218209466,0.981991889711609,0.7647775274406875,0.09907640516757964,0.9107172574471626,0.08928274255283741,0.08928274255283741,0.005075050535460841,0.0632625008637801,0.1004740748984386,0.0427224431724875,0.10047407499805668
0.16913557095365245,0.05027775878245707,1.0,1.0,0.0,0.0,8,1,2025-08-18 18:46:16,0.0,1.0,0.9376040032859979,0.39118932211376417,0.5431634187698364,0.0,1.0,1.0,0.6145542127220335,0.5639175364885194,0.5435466113584828,0.5324007546796231,0.5435466119018226
0.01664166509007504,0.0023577322446962,0.04712831924285651,7.245574645195718e-05,0.0,0.0,9,1,2025-08-18 18:46:06,0.0,0.0,0.0,0.7147194725562326,0.0,0.999833582958895,0.00016641704110500916,0.00016641704110500916,0.0,0.0,0.0,0.0,0.0
0.5509563097741791,0.01187615768221032,0.11861250719278267,0.0003479143389821751,0.0,0.0,10,1,2025-08-18 18:46:10,0.0,0.06937844516251664,0.9277627056853784,0.7780872272262664,0.1669403463602066,0.8734398402396405,0.12656015976035945,0.12656015976035945,0.013160724269923874,0.1971141003246266,0.170553469985956,0.0958190174859676,0.17055347015555786
0.10542846426245454,0.03898561872526157,0.03458973977216483,0.00017367506007239894,0.03225806451612903,0.0,1,2,2025-08-18 18:47:04,0.0,0.04687321801938795,0.9410189813524837,0.8618877807554469,0.16842105984687805,0.9145448493925779,0.0854551506074222,0.0854551506074222,0.008945851791320803,0.0640523801050846,0.1714071941961655,0.0767958429762221,0.1714071943661576
0.22023251451648276,0.06659669781568912,0.15479773693931503,0.0005550174329128827,0.03225806451612903,0.0,2,2,2025-08-18 18:47:05,0.0,0.49872647785592095,0.9629815163648282,0.46404204671532207,0.4664278626441956,0.41729073057081045,0.5827092694291895,0.5827092694291895,0.2631284675927917,0.5382561909163,0.465129307838148,0.4638240225109346,0.46512930830292337
0.6046315394550044,0.043520143935922045,0.0794968472474277,0.00021352591384660462,0.03225806451612903,0.0,3,2,2025-08-18 18:47:07,0.0,0.1323702718114427,0.9439540719212908,0.7926050549115693,0.17652124166488647,0.7612747545348644,0.23872524546513563,0.23872524546513563,0.026450475248376414,0.1657113749143261,0.1747960530797619,0.1208862078320624,0.17479605325405964
0.38149259326419427,0.04120955784131799,0.03258179652573507,6.668216465030248e-05,0.03225806451612903,0.0,4,2,2025-08-18 18:47:05,0.0,0.04846987264778559,0.9636427368458176,0.7856212757423922,0.16209867596626282,0.9109668830088201,0.0890331169911799,0.0890331169911799,0.008902842888477916,0.0657514066360892,0.1618661980940229,0.0839538258952201,0.16186619825462017
0.09169323082051177,0.03873926947252804,0.024911171648968063,0.00013669167463609673,0.03225806451612903,0.0,5,2,2025-08-18 18:47:04,0.0,0.05299372742824558,0.99026150833762,0.7862922693285264,0.10816618800163268,0.8964053919121318,0.1035946080878682,0.1035946080878682,0.00649434432927616,0.1440992292870905,0.1015325895478567,0.0224579193937521,0.10153258964870639
0.403431464448764,0.01625013113850309,0.0003702019612656078,1.6976803784919084e-05,0.03225806451612903,0.0,6,2,2025-08-18 18:47:02,0.0,0.006006462649686371,1.0,0.7728005238839797,0.11249999701976776,0.9881843900815444,0.01181560991845565,0.01181560991845565,0.0007741602511719926,0.110691823899371,0.1045454545454545,0.0280138339920948,0.10454545464391096
0.5212825801395756,0.04198470850724672,0.04838076881289912,0.00018694966080110302,0.03225806451612903,0.0,7,2,2025-08-18 18:47:04,0.0,0.045200532218209466,0.981991889711609,0.7050129042810199,0.20403023064136505,0.9211183225162256,0.07888167748377434,0.07888167748377434,0.0104511633908219,0.0632882278297325,0.1953785325382421,0.0924956356595744,0.19537853273204242
0.08020813799043884,0.08300738070855992,0.011761960138906215,9.589015076603624e-05,0.03225806451612903,0.0,8,2,2025-08-18 18:47:06,0.0,1.0,0.9376040032859979,0.3679486884971999,0.572205126285553,0.0635713097021135,0.9364286902978866,0.9364286902978866,0.6474130144940002,0.5693198524150306,0.572731551017016,0.5600493777831955,0.5727315515895295
0.15418151134703775,0.020652986920978392,0.032825244554610826,3.5043400118744875e-05,0.0,0.0,9,2,2025-08-18 18:47:02,0.0,0.0,0.0,0.7711535530438907,0.5,0.9999167914794475,8.320852055250458e-05,8.320852055250458e-05,4.3008902842888476e-05,0.25,0.5,0.3333333333333333,0.4999999999999999
0.37197637352981083,0.04371127697683596,0.10655478787830013,0.0002589841753813197,0.03225806451612903,0.0,10,2,2025-08-18 18:47:05,0.0,0.06937844516251664,0.9277627056853784,0.9032722860837361,0.18773946166038516,0.8765185555000832,0.1234814444999168,0.1234814444999168,0.014752053675110748,0.1153671688620333,0.1877139869406958,0.1005686761015245,0.18771398712737347
0.12192949558352473,0.05766993532482637,0.0007665594958815032,6.580492029355842e-05,0.06451612903225806,0.0,1,3,2025-08-18 18:48:34,0.0,0.04687321801938795,0.9410189813524837,0.8197625480965061,0.20728744566440582,0.9184556498585456,0.08154435014145449,0.08154435014145449,0.010967270224936562,0.1245197504284174,0.2100264106063098,0.1376911769185291,0.2100264108146049
0.28609600597936846,0.0870674712376629,0.08482353035857279,0.0003248818439769127,0.06451612903225806,0.0,2,3,2025-08-18 18:48:35,0.0,0.49872647785592095,0.9629815163648282,0.3797999937221758,0.5519396662712097,0.5107338991512731,0.4892661008487269,0.4892661008487269,0.3114274654853555,0.5758187640949637,0.551795428607037,0.5518846629390491,0.5517954291584117
0.686105381565133,0.05994356903152042,0.07712775589204589,0.0002448439238336259,0.06451612903225806,0.0,3,3,2025-08-18 18:48:36,0.0,0.1323702718114427,0.9439540719212908,0.7274746230401732,0.20579794049263,0.7697620236312198,0.23023797636878016,0.23023797636878016,0.030837383338351038,0.3436951722870616,0.2052289353529173,0.1608414579301128,0.20522893555755703
0.38594599661586737,0.05994994013288422,0.03281317275152608,8.563759887862666e-05,0.06451612903225806,0.0,4,3,2025-08-18 18:48:34,0.0,0.04846987264778559,0.9636427368458176,0.9113783726818715,0.10180109739303589,0.9045598269262772,0.09544017307372275,0.09544017307372275,0.005591157369575502,0.1834312264399053,0.1087817474796436,0.0342884299228357,0.10878174758751405
0.14569660602055967,0.059646250967876506,0.003343889454475219,8.703655243431541e-05,0.06451612903225806,0.0,5,3,2025-08-18 18:48:34,0.0,0.05299372742824558,0.99026150833762,0.7031907504679316,0.21561604738235476,0.9088866699950074,0.09111333000499251,0.09111333000499251,0.012945679755709432,0.2714033189033188,0.2061917637542471,0.114367133537752,0.20619176395902475
0.44805925368561633,0.030467456201863682,0.02675815752093452,2.283540486343885e-05,0.03225806451612903,0.0,6,3,2025-08-18 18:48:31,0.0,0.006006462649686371,1.0,0.8358671320869496,0.10625000298023224,0.9881011815609918,0.011898818439008155,0.011898818439008155,0.0007311513483291041,0.0106249999999999,0.1,0.0192090395480226,0.1000000000941176
0.5985374085508767,0.05665777968816432,0.02174232333922169,0.00012073896668614317,0.06451612903225806,0.0,7,3,2025-08-18 18:48:34,0.0,0.045200532218209466,0.981991889711609,0.9014211318880072,0.12762384116649628,0.9135463471459477,0.08645365285405225,0.08645365285405225,0.006537353232119049,0.1654890605237923,0.1301821086757565,0.068879851204005,0.13018210880482292
0.0914588411589346,0.09858047614213676,0.014383553375477339,0.0003294612913898718,0.06451612903225806,0.0,8,3,2025-08-18 18:48:36,0.0,1.0,0.9376040032859979,0.3511664696116205,0.5977876782417297,0.11957064403394907,0.8804293559660509,0.8804293559660509,0.6763580061072642,0.6131631245186521,0.5978344343785682,0.586289888921689,0.5978344349761753
0.11663228949557879,0.031321608524703524,0.03288560357003457,3.7644217088298835e-05,0.03225806451612903,0.0,9,3,2025-08-18 18:48:31,0.0,0.0,0.0,0.7523829262432149,0.5,0.9999167914794475,8.320852055250458e-05,8.320852055250458e-05,4.3008902842888476e-05,0.25,0.5,0.3333333333333333,0.4999999999999999
0.44604350271131143,0.06169774560701945,0.11047309396289128,0.00030100688522816923,0.06451612903225806,0.0,10,3,2025-08-18 18:48:35,0.0,0.06937844516251664,0.9277627056853784,1.0,0.1072796955704689,0.864286902978865,0.13571309702113496,0.13571309702113496,0.008429744957206142,0.0923560228094594,0.1151537911191087,0.0418304158282615,0.11515379123358378
0.09225576596638473,0.08202538161835321,0.03542571213578364,8.882195724848173e-05,0.06451612903225806,0.0,1,4,2025-08-18 18:49:55,0.0,0.04687321801938795,0.9410189813524837,0.7132464302196647,0.19190283119678497,0.9169578964886005,0.08304210351139957,0.08304210351139957,0.01019310997376457,0.2382544271563405,0.1978999121613409,0.1432153250366352,0.19789991235758392
0.2558128632875328,0.11381165580252307,0.037633846116702147,0.0002319132647249668,0.06451612903225806,0.0,2,4,2025-08-18 18:49:57,0.0,0.49872647785592095,0.9629815163648282,0.3503109952198847,0.5953814387321472,0.5582459643867532,0.4417540356132468,0.4417540356132468,0.3359855490086448,0.5985595337920776,0.5953374842448605,0.583848737998902,0.595337484839744
0.6524939058570286,0.08358927463312013,0.035050480256566055,0.00010461622018245948,0.06451612903225806,0.0,3,4,2025-08-18 18:49:57,0.0,0.1323702718114427,0.9439540719212908,0.6027949677977296,0.3429965674877167,0.809535696455317,0.19046430354468297,0.19046430354468297,0.05139563889725173,0.5294863237798585,0.3445197588021252,0.3195816730264005,0.34451975914564964
0.3363960247412975,0.08058976011104405,0.06441312929303497,0.0002526347812045334,0.06451612903225806,0.0,4,4,2025-08-18 18:49:56,0.0,0.04846987264778559,0.9636427368458176,0.6987936873625781,0.21064996719360352,0.9161258112830754,0.08387418871692462,0.08387418871692462,0.011569394864737001,0.2953230219319536,0.2078032206154007,0.1354242406261754,0.2078032208215981
0.12699231200116187,0.0831522170795636,0.02959201329507913,0.00010808655248358794,0.06451612903225806,0.0,5,4,2025-08-18 18:49:55,0.0,0.05299372742824558,0.99026150833762,0.6755950046812077,0.2535816729068756,0.9132967215842902,0.08670327841570977,0.08670327841570977,0.015225151606382522,0.4416094611467048,0.2526956287587725,0.1990347727413449,0.25269562900965714
0.38880555033081104,0.04747957106347699,0.00011870606366668947,1.326300719094976e-05,0.03225806451612903,0.0,6,4,2025-08-18 18:49:53,0.0,0.006006462649686371,1.0,0.7752328664096759,0.17499999701976776,0.9890164752870694,0.010983524712930605,0.010983524712930605,0.0012042492796008773,0.1649727371864776,0.1563789152024446,0.1100125901695489,0.1563789153498723
0.508016125994592,0.08273682127064397,0.07305050440017223,0.00015687602386637954,0.06451612903225806,0.0,7,4,2025-08-18 18:49:55,0.0,0.045200532218209466,0.981991889711609,0.6719003706912628,0.2191435694694519,0.9226992844067232,0.07730071559327675,0.07730071559327675,0.01126833254483678,0.4080745905038357,0.2158461621418285,0.1252412243410222,0.21584616235588494
0.07523907742389846,0.12156273772171965,0.0034233621581164766,9.988992129127896e-05,0.06451612903225806,0.0,8,4,2025-08-18 18:49:57,0.0,1.0,0.9376040032859979,0.3587691080912689,0.5928460359573364,0.10891995340322849,0.8910800465967715,0.8910800465967715,0.6708528665433745,0.6437499632842847,0.5929316143139197,0.591031301617102,0.5929316149066259
0.0,0.048471763915865794,0.0007343680209888416,3.137211316320808e-05,0.03225806451612903,0.0,9,4,2025-08-18 18:49:53,0.0,0.0,0.0,0.7345744037399125,0.5,0.9999167914794475,8.320852055250458e-05,8.320852055250458e-05,4.3008902842888476e-05,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333332
0.4350740671048375,0.08563822083171757,0.05867801684418924,0.000297876630034501,0.06451612903225806,0.0,10,4,2025-08-18 18:49:56,0.0,0.06937844516251664,0.9277627056853784,0.6702167250670202,0.30815544724464417,0.8948244300216343,0.10517556997836579,0.10517556997836579,0.024214012300546213,0.3181301452755937,0.3111155334586863,0.248394121939129,0.3111155337680715
0.12474217136527979,0.09592160317297839,0.0009637322795990552,6.343210956650623e-05,0.0967741935483871,0.0,1,5,2025-08-18 18:50:31,0.0,0.04687321801938795,0.9410189813524837,0.5528229547610072,0.3692307770252228,0.9352637710101515,0.06473622898984856,0.06473622898984856,0.019655068599200035,0.5883900588818033,0.3812461275300755,0.3492739396306257,0.38124612790813067
0.31506656663797217,0.1312395912131469,0.07587530632200327,0.0002704192681196706,0.0967741935483871,0.25,2,5,2025-08-18 18:50:32,0.0,0.49872647785592095,0.9629815163648282,0.36196066292433804,0.6000304818153381,0.563321684140456,0.43667831585954403,0.43667831585954403,0.33860909208206097,0.6186287847116269,0.6005231614230332,0.5900519163971953,0.6005231620230981
0.6786986686365049,0.09993624651235294,0.003012920853235042,0.00010098357835277045,0.0967741935483871,0.0,3,5,2025-08-18 18:50:33,0.0,0.1323702718114427,0.9439540719212908,0.38738403653661957,0.5551090836524963,0.8710267931436179,0.12897320685638208,0.12897320685638208,0.08317921809814631,0.6195356598669629,0.5566918150671145,0.5598198072927738,0.5566918156222007
0.36156947306920995,0.09696986171736863,0.00047281228748596654,6.340119346582802e-05,0.0967741935483871,0.0,4,5,2025-08-18 18:50:31,0.0,0.04846987264778559,0.9636427368458176,0.6116858726390553,0.3077525496482849,0.9264436678315859,0.07355633216841405,0.07355633216841405,0.01690249881725517,0.4600544939410382,0.303011952407914,0.2385464094688728,0.30301195270857784
0.12924245263704393,0.0974375005574714,0.0009164510508504585,6.412772183176583e-05,0.0967741935483871,0.0,5,5,2025-08-18 18:50:31,0.0,0.05299372742824558,0.99026150833762,0.5616353814676298,0.33954155445098877,0.9232817440505908,0.07671825594940922,0.07671825594940922,0.02038621994752914,0.5212278493443219,0.3351331767019566,0.3094223756146026,0.3351331770347115
0.41979186197463425,0.05760962223191576,0.056808899333234075,0.00011036275039602076,0.03225806451612903,0.0,6,5,2025-08-18 18:50:28,0.0,0.006006462649686371,1.0,0.7323276489046515,0.2562499940395355,0.9900981860542519,0.009901813945748045,0.009901813945748045,0.0017633650165584276,0.2129107981220657,0.2297962821492233,0.1752406554019457,0.22979628236559327
0.5345021563644683,0.09516981321205026,0.0008289304784860349,6.440210222528489e-05,0.0967741935483871,0.0,7,5,2025-08-18 18:50:31,0.0,0.045200532218209466,0.981991889711609,0.5891880325381653,0.32493701577186584,0.9331003494757864,0.06689965052421368,0.06689965052421368,0.01664444540019784,0.5723357334938772,0.3234476988930806,0.2769667737596114,0.3234476992138105
0.0783330207960534,0.13736179488366584,0.0017966866924466727,9.974306981305749e-05,0.0967741935483871,0.0,8,5,2025-08-18 18:50:32,0.0,1.0,0.9376040032859979,0.30980506128019264,0.6417303085327148,0.21592611083374938,0.7840738891662506,0.7840738891662506,0.7261623155993291,0.6536423506807004,0.641744185859033,0.6248185491849204,0.6417441865005333
0.07111381958708214,0.05868506414212485,0.0004044054033390607,1.7456003345431256e-05,0.03225806451612903,0.0,9,5,2025-08-18 18:50:28,0.0,0.0,0.0,0.5911163735029579,0.5,0.9999167914794475,8.320852055250458e-05,8.320852055250458e-05,4.3008902842888476e-05,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333332
0.383742733882613,0.10266859951724044,0.11147203566815418,0.0002759377920907301,0.0967741935483871,0.0,10,5,2025-08-18 18:50:31,0.0,0.06937844516251664,0.9277627056853784,0.5206205756737663,0.3798576891422272,0.9057247462140123,0.09427525378598768,0.09427525378598768,0.029848178572964602,0.5910819626405465,0.380972286553116,0.3607419962478874,0.38097228693198243
0.10908494278048245,0.12253666675019889,0.014282955016437771,6.527161755685939e-05,0.12903225806451613,0.0,1,6,2025-08-18 18:50:59,0.0,0.04687321801938795,0.9410189813524837,0.4565223877020333,0.46396762132644653,0.944915959394242,0.05508404060575803,0.05508404060575803,0.0246441013289751,0.5617473269970713,0.4567164634558647,0.445857455061189,0.45671646390892773
0.26120382522002666,0.15652861622651562,0.11181910000684069,0.0003216665695063794,0.0967741935483871,0.0,2,6,2025-08-18 18:51:00,0.0,0.49872647785592095,0.9629815163648282,0.2896386711524155,0.6629067659378052,0.6319687135962723,0.36803128640372773,0.36803128640372773,0.37409143692744395,0.665349116514472,0.6642523272215974,0.6574873617923607,0.6642523278853423
0.6531501968780105,0.123877146477142,0.0016890464482743357,9.900881242195013e-05,0.12903225806451613,0.0,3,6,2025-08-18 18:51:01,0.0,0.1323702718114427,0.9439540719212908,0.3531891171642367,0.5875430703163147,0.8804293559660509,0.11957064403394907,0.11957064403394907,0.08803922411939272,0.6507376176597048,0.5872751389041564,0.5872527967989903,0.5872751394897436
0.3384586536444252,0.12437961400470017,0.0002696036022260405,6.453736016575204e-05,0.12903225806451613,0.0,4,6,2025-08-18 18:51:00,0.0,0.04846987264778559,0.9636427368458176,0.46825658451161334,0.47768205404281616,0.9444999167914795,0.055500083208520554,0.055500083208520554,0.02623543073416197,0.6177880073204733,0.4710486697813146,0.4411711341695383,0.47104867024870584
0.12221076315646122,0.12333730182158285,0.002914334461376266,5.528571703779932e-05,0.12903225806451613,0.0,5,6,2025-08-18 18:50:59,0.0,0.05299372742824558,0.99026150833762,0.4247496644110387,0.5236389636993408,0.9446663338325845,0.05533366616741554,0.05533366616741554,0.031439507978151475,0.6507084067439769,0.5169974430780284,0.5224185965644778,0.5169974435913566
0.3866022876237517,0.07347833676877279,0.04179459424657865,8.752348101999713e-05,0.06451612903225806,0.0,6,6,2025-08-18 18:50:57,0.0,0.006006462649686371,1.0,0.4766296517316152,0.5,0.9933433183557996,0.006656681644200366,0.006656681644200366,0.003440712227431078,0.6794296021438879,0.4628973559120617,0.452258004157994,0.46289735634673923
0.5107819238387927,0.12063807854378711,0.05184839424899301,0.0001743320272118108,0.12903225806451613,0.0,7,6,2025-08-18 18:50:59,0.0,0.045200532218209466,0.981991889711609,0.3956308450932677,0.5256087183952333,0.9529871858878349,0.04701281411216508,0.04701281411216508,0.026923573179648188,0.6345889893747233,0.5232193269740416,0.5240626888895891,0.5232193274928548
