client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,timestamp,confusion_mean,classification_score,class_label
1,44,0.013943057722308892,0.0,0.4282205262976322,0.4556212581738183,0.795047451460969,0.7887227751735209,0.9918403316089234,0.9757792642415134,0.8181818181818181,1.0,2025-08-21 11:22:25,0.07041666666666667,6,1
2,44,0.002047581903276131,0.15816424214466562,0.5928950963900239,0.5106383233945437,0.8926528816403678,0.23672816151281673,0.9997184914405078,0.9993676369743483,0.18181818181818177,1.0,2025-08-21 11:22:24,0.07833333333333334,6,1
3,44,0.3792901716068643,0.15400351310475657,0.31440274183478634,0.2856550184704003,0.34095908500873284,0.49919495018603155,0.9455505328263459,0.8831093372096366,0.6363636363636364,1.0,2025-08-21 11:22:33,0.10555256064690026,4,0
4,44,0.31318252730109203,0.16094748460928643,0.30069734202096354,0.29057280432548555,0.0,0.5970435573047994,0.0,0.0,0.6363636363636364,1.0,2025-08-21 11:23:24,0.10651315789473685,4,0
5,44,0.09087363494539781,0.21864001470004618,0.43597908308461186,0.40579324701532143,0.6388661932001801,0.2757827477583109,0.7734835256295184,0.9837125458360537,0.2727272727272727,1.0,2025-08-21 11:22:25,0.10413043478260868,5,1
6,44,0.4581708268330733,0.09912634969912579,0.3461954980299191,0.3179100592523108,0.9807680221194844,0.566049139467023,0.9930030843546518,0.9987948146231896,0.6363636363636364,1.0,2025-08-21 11:22:24,0.10205183585313175,6,1
7,44,0.39752340093603744,0.14196207029036806,0.33046037769071657,0.29158539045057086,0.8619822764164995,0.5252357732225442,1.0,0.9998049529628672,0.6363636363636364,1.0,2025-08-21 11:22:24,0.11,7,1
8,44,0.01501560062402496,0.3391388224631433,0.5773560586229594,0.5527777744457123,1.0,0.42713573913484937,0.998188553617181,1.0,0.36363636363636365,1.0,2025-08-21 11:22:23,0.08181818181818182,6,1
9,44,0.16994929797191888,0.10222655113940769,0.3509989206194789,0.3401638199498831,0.8928414304622847,0.5690420874240582,0.9975847381562414,0.9892765192111066,0.5454545454545454,1.0,2025-08-21 11:22:24,0.10405882352941177,6,1
10,44,0.10676677067082684,0.20005636729891943,0.31378474720847815,0.3460079961573479,0.6100182263852602,0.5726998663085443,0.8060528420125006,0.9128570900624561,0.6363636363636364,1.0,2025-08-21 11:22:30,0.10778846153846153,4,0
11,44,0.0,1.0,1.0,1.0,0.8172333605648678,0.15682515430121424,0.9941780766029669,0.9500576928604572,0.6363636363636364,1.0,2025-08-21 11:22:28,0.053497942386831275,6,1
12,44,0.12909516380655225,0.13763343865794875,0.4666760413464206,0.42074075927337135,0.43579913265789194,0.22549010127188185,0.6979413156649314,0.8193741248547413,0.2727272727272727,1.0,2025-08-21 11:22:32,0.09574468085106382,3,0
13,44,1.0,0.1385564745938103,0.3338494668089418,0.31662123538249076,0.8192445478191464,0.4484683504215028,0.8305644858592947,0.9263461325252227,0.7272727272727273,1.0,2025-08-21 11:22:25,0.10961620469083157,5,1
14,44,0.2528276131045242,0.1027542450015828,0.3887228057875547,0.35452458404541953,0.6297530010500787,0.5230140291413526,0.5947786281965501,0.8261063273258846,0.6363636363636364,1.0,2025-08-21 11:22:32,0.10518072289156627,4,0
15,44,0.06825273010920437,0.06325087688414269,0.48550998683879365,0.489152784663253,0.3572371315722118,0.5291280561068951,0.8743411067774206,0.8344974561760105,0.5454545454545454,1.0,2025-08-21 11:22:32,0.08853658536585365,3,0
16,44,0.045826833073322935,0.19500472654364423,0.33227565970763384,0.31602814677546415,0.8825340958865403,0.6134878480994297,0.9384842599996737,0.8952843785801397,0.5454545454545454,1.0,2025-08-21 11:22:32,0.09920000000000001,3,0
17,44,0.9827418096723869,0.09784180920183827,0.2975099966514999,0.2744927515866962,0.9328137766581713,0.4645657203503536,0.9992982685183674,0.9986552020071366,0.7272727272727273,0.0,2025-08-21 11:22:24,0.10971769815418023,6,1
18,44,0.31464508580343215,0.09205345298963111,0.5071397987595814,0.48828003104418727,0.12739614103366348,0.0,0.0805522463567081,0.4075969794399892,0.0,1.0,2025-08-21 11:22:56,0.09652818991097924,3,0
19,44,0.08239079563182528,0.12731171244796616,0.3521677991964869,0.29362804176399393,0.9639871786897559,0.7907934213166552,0.999620575419815,0.9994743995630946,0.7272727272727273,0.9130434782608696,2025-08-21 11:22:24,0.08887755102040815,6,1
20,44,0.0019500780031201249,0.12966277706604906,0.0,0.0,0.7563320972960798,1.0,0.8528240612301516,0.9020186341779897,1.0,1.0,2025-08-21 11:22:30,0.07666666666666666,2,0
