client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean,classification_score,class_label
1,5,13679.0,0.06352762877941132,1.1212791204452515,59.37568545341492,74.42999999970198,3961.9584,74860.0,81758.0,38943.0,0.0,0.09999999999992686,8,1
2,5,3530.0,0.06357087939977646,1.2605669498443604,54.929178953170776,61.230000000447035,3813.66272,72660.0,52732.0,38943.0,0.0,0.09999999999971576,4,0
3,5,20.0,0.05938616022467613,1.507948875427246,50.0,12.990000002086163,3337.027584,252.0,20668.0,38939.0,0.0,0.1428571427867347,2,0
4,5,9.0,0.06863930821418762,1.3695470094680786,55.55555820465088,39.5899999961257,3358.183424,42195.0,31446.0,38939.0,0.0,0.10204081625170068,4,0
5,5,1456.0,0.0626995638012886,1.5646333694458008,43.06318759918213,36.76000000163913,3712.196608,1252.0,33192.0,38943.0,0.0,0.0999999999993099,1,0
6,5,10385.0,0.0634772777557373,1.1711453199386597,57.2749137878418,20.020000003278255,4007.161856,37703104.0,37739397.0,38943.0,0.0,0.09999999999990364,7,1
7,5,784.0,0.06492987275123596,1.7073734998703003,38.52040767669678,48.76000000163913,3699.531776,38654.0,41281.0,38943.0,0.0,0.09999999999871517,3,0
8,5,4435.0,0.06335093826055527,1.4096274375915527,50.10146498680115,67.3300000000745,3806.621696,95330.0,97253.0,38943.0,0.0,0.09999999999977405,5,0
9,5,9889.0,0.06286796927452087,1.2556692361831665,57.27576017379761,36.100000001490116,4005.249024,50608.0,66884.0,38943.0,0.0,0.09999999999989888,6,1
10,5,5813.0,0.06278534978628159,1.2083173990249634,57.3542058467865,74.32999999821186,3872.841728,48214.0,80779.0,38943.0,0.0,0.09999999999982771,5,0
