client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean,classification_score,class_label
1,14,13679.0,0.06352762877941132,0.6903015971183777,74.99086260795593,63.03000000119209,5777.063936,126414.0,112725.0,38955.0,0.0,0.09999999999992686,8,1
2,14,3530.0,0.06357087939977646,0.6935029029846191,76.31728053092957,57.79999999701977,5589.274624,412.0,35986.0,38955.0,0.0,0.09999999999971575,3,0
3,14,20.0,0.05938616022467613,0.45726338028907776,80.0000011920929,13.07999999821186,4601.597952,586.0,20116.0,38945.0,0.01,0.10937499994609375,3,0
4,14,9.0,0.06863930821418762,0.1469063013792038,88.88888955116272,44.059999994933605,4610.015232,50842.0,46271.0,38945.0,0.0,0.13888888878703703,5,0
5,14,1456.0,0.0626995638012886,0.6643951535224915,77.6098906993866,36.149999998509884,5492.383744,762.0,32261.0,38955.0,0.0,0.0999999999993099,2,0
6,14,10385.0,0.0634772777557373,0.6897352337837219,75.42609572410583,13.219999998807907,5959.766016,37794888.0,37770314.0,38955.0,0.0,0.09999999999990364,7,1
7,14,784.0,0.06492987275123596,0.5158395171165466,84.43877696990967,50.36999999731779,5440.417792,962.0,28382.0,38955.0,0.0,0.09999999999871517,3,0
8,14,4435.0,0.06335093826055527,0.7202351093292236,74.22773241996765,64.07000000029802,5619.65056,76576.0,79405.0,38953.0,0.01,0.09999999999977405,7,1
9,14,9889.0,0.06286796927452087,0.6601467728614807,76.4485776424408,33.92000000178814,5931.23328,3798.0,35456.0,38953.0,0.0,0.09999999999989885,3,0
10,14,5813.0,0.06278534978628159,0.645889401435852,77.2062599658966,80.5599999949336,5732.016128,105141.0,80063.0,38955.0,0.0,0.0999999999998277,6,1
