client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean,classification_score,class_label
1,7,13679.0,0.06352762877941132,0.9620383381843567,65.96242189407349,69.5299999974668,4329.90208,120962.0,106605.0,38945.0,0.0,0.09999999999992686,8,1
2,7,3530.0,0.06357087939977646,1.2044742107391357,56.82719349861145,62.60999999940395,4207.7184,1288.0,32711.0,38945.0,0.01,0.09999999999971575,4,0
3,7,20.0,0.05938616022467613,0.8238285183906555,85.00000238418579,12.220000006258488,3614.707712,628.0,19867.0,38941.0,0.0,0.14285714278673467,2,0
4,7,9.0,0.06863930821418762,0.46291372179985046,88.88888955116272,49.75,3628.58496,51990.0,50898.0,38941.0,0.0,0.13888888878703703,6,1
5,7,1456.0,0.0626995638012886,1.0676593780517578,63.87362480163574,37.06999999657273,4096.3072,953.0,31518.0,38945.0,0.01,0.0999999999993099,3,0
6,7,10385.0,0.0634772777557373,1.1332812309265137,60.14443635940552,28.59000000357628,4470.534144,81809.0,66058.0,38945.0,0.0,0.09999999999990364,7,1
7,7,784.0,0.06492987275123596,1.047633171081543,65.17857313156128,48.26000000536442,4079.382528,2006.0,28702.0,38945.0,0.0,0.09999999999871517,3,0
8,7,4435.0,0.06335093826055527,1.0506497621536255,62.79594302177429,69.35000000009313,4238.52032,77053.0,82686.0,38945.0,0.0,0.09999999999977405,6,1
9,7,9889.0,0.06286796927452087,1.0357651710510254,62.524014711380005,35.10999999940395,4488.093696,974.0,32531.0,38945.0,0.0,0.09999999999989888,3,0
10,7,5813.0,0.06278534978628159,1.033972978591919,63.65044116973877,76.15999999642372,4258.16064,105271.0,86917.0,38945.0,0.01,0.09999999999982771,6,1
