client_rank,round,data_size,data_variance,local_loss,local_accuracy,cpu_time,ram_used_mb,net_sent_bytes,net_recv_bytes,gpu_mem_used_mb,gpu_load,confusion_mean
1,21,13679.0,0.06352762877941132,0.5772783160209656,78.80693078041077,68.95000000298023,6877.67552,46463.0,79718.0,38963.0,0.0,0.09999999999992686
2,21,3530.0,0.06357087939977646,0.5332716107368469,81.16147518157959,56.44999999925494,6931.562496,454.0,29477.0,38963.0,0.0,0.09999999999971573
3,21,20.0,0.05938616022467613,0.27332767844200134,89.99999761581421,12.570000000298023,5492.998144,40275.0,39329.0,38949.0,0.0,0.10937499994609373
4,21,9.0,0.06863930821418762,0.0611465722322464,100.0,43.99999999254942,5490.946048,22769.0,32745.0,38949.0,0.0,0.19999999985333333
5,21,1456.0,0.0626995638012886,0.5448541045188904,82.14285969734192,31.029999997466803,6733.082624,48574.0,35807.0,38963.0,0.0,0.09999999999930989
6,21,10385.0,0.0634772777557373,0.5302375555038452,82.10881352424622,28.780000001192093,7395.4304,39015.0,42014.0,38963.0,0.0,0.09999999999990365
7,21,784.0,0.06492987275123596,0.47021764516830444,85.20408272743225,51.26000000163913,6718.58688,316.0,29085.0,38963.0,0.0,0.09999999999871517
8,21,4435.0,0.06335093826055527,0.6385061144828796,76.61781311035156,64.37000000011176,6925.901824,33316.0,65865.0,38963.0,0.0,0.09999999999977405
9,21,9889.0,0.06286796927452087,0.6137292385101318,77.80361771583557,34.30000000447035,7338.733568,3978.0,34813.0,38961.0,0.0,0.09999999999989885
10,21,5813.0,0.06278534978628159,0.4627406597137451,84.34543013572693,87.85000000149012,7080.214528,46405.0,70910.0,38963.0,0.0,0.0999999999998277
