client_rank,round,data_size,data_variance,local_loss,local_accuracy
2,1,5000,0.06373538821935654,2.89227557182312,13.079999387264252
7,1,5000,0.06320914626121521,2.9150514602661133,14.460000395774841
6,1,5000,0.06327416002750397,2.870889663696289,18.700000643730164
4,1,5000,0.06371624767780304,2.662249803543091,18.639999628067017
1,1,5000,0.06377887725830078,2.6437528133392334,15.800000727176666
10,1,5000,0.06256944686174393,2.8749775886535645,11.400000005960464
5,1,5000,0.06362485885620117,3.0234968662261963,12.380000203847885
8,1,5000,0.06263083219528198,2.696133613586426,17.419999837875366
3,1,5000,0.0629531517624855,2.755227565765381,12.700000405311584
9,1,5000,0.06334627419710159,3.0821595191955566,13.500000536441803
7,2,5000,0.06320914626121521,2.0491909980773926,27.219998836517334
10,2,5000,0.06256944686174393,2.3069980144500732,24.879999458789825
8,2,5000,0.06263083219528198,2.2644155025482178,26.96000039577484
2,2,5000,0.06373538821935654,1.9178637266159058,30.959999561309814
4,2,5000,0.06371624767780304,2.2356021404266357,23.720000684261322
1,2,5000,0.06377887725830078,2.1040778160095215,28.020000457763672
5,2,5000,0.06362485885620117,2.1416475772857666,28.999999165534973
6,2,5000,0.06327416002750397,2.3746187686920166,20.85999995470047
3,2,5000,0.0629531517624855,2.086507797241211,27.4399995803833
9,2,5000,0.06334627419710159,2.1803200244903564,24.92000013589859
7,3,5000,0.06320914626121521,1.4872335195541382,45.64000070095062
10,3,5000,0.06256944686174393,1.5508017539978027,45.4800009727478
8,3,5000,0.06263083219528198,1.5661667585372925,43.880000710487366
4,3,5000,0.06371624767780304,1.4525260925292969,48.28000068664551
1,3,5000,0.06377887725830078,1.442354679107666,48.14000129699707
3,3,5000,0.0629531517624855,1.4545854330062866,48.39999973773956
9,3,5000,0.06334627419710159,1.5169713497161865,44.839999079704285
5,3,5000,0.06362485885620117,1.6899396181106567,40.299999713897705
6,3,5000,0.06327416002750397,1.539932370185852,43.880000710487366
2,3,5000,0.06373538821935654,1.5231600999832153,45.28000056743622
7,4,5000,0.06320914626121521,1.6131983995437622,46.20000123977661
8,4,5000,0.06263083219528198,1.3317855596542358,51.840001344680786
10,4,5000,0.06256944686174393,1.190293550491333,56.84000253677368
1,4,5000,0.06377887725830078,1.3565062284469604,51.099997758865356
4,4,5000,0.06371624767780304,1.5564943552017212,46.38000130653381
6,4,5000,0.06327416002750397,1.3276565074920654,53.60000133514404
5,4,5000,0.06362485885620117,1.3198621273040771,52.66000032424927
9,4,5000,0.06334627419710159,1.3920432329177856,49.86000061035156
3,4,5000,0.0629531517624855,1.5649439096450806,44.74000036716461
2,4,5000,0.06373538821935654,1.377698540687561,50.620001554489136
7,5,5000,0.06320914626121521,1.416689395904541,50.88000297546387
8,5,5000,0.06263083219528198,1.277419924736023,55.33999800682068
4,5,5000,0.06371624767780304,1.401389479637146,52.67999768257141
10,5,5000,0.06256944686174393,1.596126675605774,45.14000117778778
6,5,5000,0.06327416002750397,1.1164116859436035,59.359997510910034
1,5,5000,0.06377887725830078,1.194801926612854,56.940001249313354
5,5,5000,0.06362485885620117,1.2201601266860962,56.940001249313354
2,5,5000,0.06373538821935654,1.3724600076675415,50.63999891281128
