1558,13,107,24,49,23,14,23,57,49
21,1830,2,6,1,6,3,2,21,70
94,1,1276,112,160,161,77,31,10,5
23,0,53,1191,77,509,43,30,10,9
20,0,38,86,1609,90,36,53,5,2
11,2,26,175,65,1576,16,49,2,3
4,2,40,103,47,70,1646,6,9,6
10,0,36,39,133,138,4,1596,1,8
93,46,15,12,10,9,4,4,1656,42
34,107,7,12,11,13,3,4,17,1724
